Rank;cantidad;Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Semana Cartel;extranjero;pais;region ;original ;tipo
1;1;15/12/2021;SPIDER MAN SIN CAMINO A CASA;3028167;270754;457;6;1;EE.UU;EE.UU;0;pelicula
2;1;6/1/2022;SING 2, VEN Y CANTA DE NUEVO;169068;168654;394;3;1;EE.UU;EE.UU;0;pelicula
3;1;6/1/2022;THE KING' S MAN: EL ORIGEN;21313;21313;145;1;1;EE.UU;EE.UU;0;pelicula
4;1;23/12/2021;MATRIX RESURRECCIONES;179231;19993;87;5;1;EE.UU;EE.UU;0;pelicula
5;1;6/1/2022;MY HERO ACADEMIA: MISION MUNDIAL DE HEROES;17363;17363;79;1;1;JAPON ;ASIA;0;pelicula
6;1;25/11/2021;ENCANTO;576371;9339;68;9;1;EE.UU;EE.UU;1;pelicula
7;1;30/12/2021;EL ARO RESURRECCION;17996;4932;21;3;1;CHINA;ASIA;0;pelicula
8;1;6/1/2022;YO TRAIDOR;2467;2467;30;1;0;ARGENTINA;ARGENTINA;1;pelicula
9;1;25/11/2021;LA CASA GUCCI;127659;2067;8;9;1;EE.UU;EE.UU;1;pelicula
10;1;9/12/2021;CLIFFORD EL GRAN PERRO ROJO;71549;759;5;7;1;EE.UU;EE.UU;0;pelicula
11;1;9/12/2021;EL CUENTO DEL TIO;3131;532;4;4;0;ARGENTINA;ARGENTINA;1;pelicula
12;1;9/12/2021;AMOR SIN BARRERA;14262;466;3;7;1;EE.UU;EE.UU;0;pelicula
13;1;30/12/2021;SEXO DESAFORTUNADO O PORNO LOCO;1333;430;5;3;1;RUMANIA;EUROPA;1;pelicula
14;1;6/1/2022;HUSEK;348;348;2;1;0;ARGENTINA;ARGENTINA;1;pelicula
15;1;2/12/2021;MILAGRO DE OTOÑO;1549;323;2;6;0;ARGENTINA;ARGENTINA;1;pelicula
16;1;18/11/2021;LA CRONICA FRANCESA;35874;310;1;9;1;EE.UU;EE.UU;1;pelicula
17;1;6/1/2022;LA VERDAD SOBRE LA DOLCE VITA;224;224;6;1;1;ITALIA;EUROPA;1;documental
18;1;30/12/2021;LA TEORIA DE LOS VIDRIOS ROTOS;482;187;3;3;1;URUGUAY;LATAM;1;pelicula
19;1;10/6/1999;MATRIX;12369;172;2;27;1;EE.UU;EE.UU;1;pelicula
20;1;13/1/2022;SCREAM: GRITA;150;150;1;1;1;EE.UU;EE.UU;0;pelicula
21;1;7/10/2021;VENOM: CARNAGE LIBERADO;851087;101;1;15;1;EE.UU;EE.UU;0;pelicula
22;1;23/12/2021;LA SOMBRA DEL GATO;720;91;1;4;0;ARGENTINA;ARGENTINA;1;pelicula
23;1;18/11/2021;GHOSTBUSTERS: EL LEGADO;171230;89;1;10;1;EE.UU;EE.UU;0;pelicula
24;1;28/10/2021;YO NENA YO PRINCESA;42552;51;2;10;0;ARGENTINA;ARGENTINA;1;pelicula
25;1;30/12/2021;CHANGO LA LUZ DESCUBRE;149;50;1;2;0;ARGENTINA;ARGENTINA;1;documental
26;1;18/11/2021;RIESGO BAJO CERO;15221;30;1;7;1;EE.UU;EE.UU;1;pelicula
27;1;23/12/2021;9;178;29;1;3;1;URUGUAY;LATAM;1;pelicula
28;1;9/12/2021;EL PERFECTO DAVID;790;17;2;3;0;ARGENTINA;ARGENTINA;1;pelicula
29;1;4/11/2021;EL APEGO;1376;14;1;8;0;ARGENTINA;ARGENTINA;1;pelicula
30;1;9/12/2021;UN JABALI AL ACECHO;339;9;1;4;0;ARGENTINA;ARGENTINA;1;pelicula
