"","Rank","cantidad","Fecha.Estreno","Titulo","Espec..Semana","Pantallas","Semana.Cartel","extranjero","pais","region","original","tipo","semana"
"1",10,1,"20/1/2022","AGENTES 355",4729,84,1,1,"EE.UU","EE.UU",1,"pelicula",4
"2",9,1,"20/1/2022","BODA NEGRA",5446,42,1,1,"RUSIA","EUROPA",1,"pelicula",4
"3",26,1,"20/1/2022","BUFONES DE LA RISASTENCIA",244,1,1,0,"ARGENTINA","ARGENTINA",1,"documental",4
"4",32,1,"20/1/2022","CERRO QUEMADO",16,1,1,0,"ARGENTINA","ARGENTINA",1,"documental",3
"5",17,1,"30/12/2021","CHANGO LA LUZ DESCUBRE",99,1,1,0,"ARGENTINA","ARGENTINA",1,"documental",1
"6",24,1,"27/1/2022","ECOS DE UN CRIMEN",277,2,1,1,"ARGENTINA","ARGENTINA",1,"pelicula",4
"7",14,1,"13/1/2022","EL EMPLEADO Y EL PATRON",652,2,1,1,"URUGUAY","LATAM",1,"pelicula",3
"8",27,1,"20/1/2022","HACER LA VIDA",241,1,1,0,"ARGENTINA","ARGENTINA",1,"pelicula",4
"9",14,1,"6/1/2022","HUSEK",348,2,1,0,"ARGENTINA","ARGENTINA",1,"pelicula",2
"10",16,1,"20/1/2022","LA ENCOMIENDA",611,2,1,0,"ARGENTINA","ARGENTINA",1,"pelicula",4
"11",9,1,"13/1/2022","LA ULTIMA NOCHE",2897,33,1,1,"UK","EUROPA",1,"pelicula",3
"12",17,1,"6/1/2022","LA VERDAD SOBRE LA DOLCE VITA",224,6,1,1,"ITALIA","EUROPA",1,"documental",2
"13",35,1,"27/1/2022","LICORICE PIZZA",60,1,1,1,"EE.UU","EE.UU",1,"pelicula",4
"14",43,1,"1/1/2022","MUESTRA FUNDACIÓN COLUMBIA ENERO-ABRIL",11,1,1,NA,"","",NA,"festival",4
"15",5,1,"6/1/2022","MY HERO ACADEMIA: MISION MUNDIAL DE HEROES",17363,79,1,1,"JAPON ","ASIA",0,"pelicula",2
"16",32,1,"3/2/2022","PASAJERO 666",99,1,1,1,"RUSIA","EUROPA",1,"pelicula",4
"17",21,1,"20/1/2022","REIFINKS<U+E314> FESTIVAL",133,1,1,1,"EE.UU","EE.UU",1,"pelicula",3
"18",20,1,"13/1/2022","SCREAM: GRITA",150,1,1,1,"EE.UU","EE.UU",0,"pelicula",2
"19",3,1,"6/1/2022","THE KING' S MAN: EL ORIGEN",21313,145,1,1,"EE.UU","EE.UU",0,"pelicula",2
"20",37,1,"24/1/2022","VERANO DE CINE ARTE",36,1,1,NA,"","",NA,"festival",4
"21",8,1,"6/1/2022","YO TRAIDOR",2467,30,1,0,"ARGENTINA","ARGENTINA",1,"pelicula",2
