Fecha Estreno;titulo;Entradas Total;Espec. Semana;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;original ;tipo
15/12/2021;SPIDER MAN SIN CAMINO A CASA;3847400;93309;248;1;11;1;EE.UU;EE.UU;0;pelicula
6/1/2022;SING 2, VEN Y CANTA DE NUEVO;703035;61441;215;2;8;1;EE.UU;EE.UU;0;pelicula
10/2/2022;MUERTE EN EL NILO;47062;47062;192;3;1;1;EE.UU;EE.UU;0;pelicula
10/2/2022;EL EXORCISMO DE DIOS;31577;31577;83;4;1;1;EE.UU;EE.UU;1;pelicula
13/1/2022;SCREAM: GRITA;290572;22235;80;5;6;1;EE.UU;EE.UU;0;pelicula
10/2/2022;CASATE CONMIGO;21059;21059;100;6;1;1;EE.UU;EE.UU;0;pelicula
25/11/2021;ENCANTO;663036;20096;92;7;14;1;EE.UU;EE.UU;1;pelicula
27/1/2022;ECOS DE UN CRIMEN;86064;16193;79;8;4;0;ARGENTINA;ARGENTINA;1;pelicula
3/2/2022;MOONFALL;44654;15430;119;9;2;1;EE.UU;EE.UU;1;pelicula
3/2/2022;PASAJERO 666;42946;15385;74;10;3;1;RUSIA;EUROPA;1;pelicula
10/2/2022;CORAZON DE FUEGO;12943;12843;87;11;2;1;FRANCIA;EUROPA;1;pelicula
27/1/2022;LICORICE PIZZA;47394;10300;41;12;4;1;EE.UU;EE.UU;1;pelicula
27/1/2022;EL CALLEJON DE LAS ALMAS PERDIDAS;37155;7173;25;13;3;1;EE.UU;EE.UU;1;pelicula
9/12/2021;CLIFFORD EL GRAN PERRO ROJO;89326;5643;44;14;12;1;EE.UU;EE.UU;0;pelicula
3/2/2022;MADRES PARALELAS;17178;5490;26;15;2;1;ESPAÑA;EUROPA;1;pelicula
10/2/2022;THE BEATLES GET BACK: EL ÚLTIMO CONCIERTO;3152;3152;2;16;1;1;EE.UU;EE.UU;1;documental
25/11/2021;LA CASA GUCCI;135781;1392;8;17;14;1;EE.UU;EE.UU;1;pelicula
13/1/2022;HOY SE ARREGLA EL MUNDO;67824;1311;9;18;6;0;ARGENTINA;ARGENTINA;1;pelicula
23/12/2021;MATRIX RESURRECCIONES;204560;1277;11;19;10;1;EE.UU;EE.UU;0;pelicula
12/2/2022;"""CICLO VIVA FELLINI""";1095;1095;1;20;1;;;;;festival
2/2/2022;"""ETIQUETA NEGRA""";1265;991;1;21;2;;;;;festival
10/2/2022;LA LUNA REPRESENTA MI CORAZÓN;597;597;2;22;1;0;ARGENTINA;ARGENTINA;1;documental
3/2/2022;EL REGRESO DE GULLIVER;6599;470;20;23;2;1;UCRANIA;EUROPA;0;pelicula
10/2/2022;NIDO;402;402;1;24;1;0;ARGENTINA;ARGENTINA;1;documental
21/10/2021;DUNA;176306;384;3;25;13;1;EE.UU;EE.UU;0;pelicula
2/12/2021;EX CASADOS;25394;366;4;26;10;0;ARGENTINA;ARGENTINA;1;pelicula
10/2/2022;LOS PASEOS;355;355;1;27;1;0;ARGENTINA;ARGENTINA;1;pelicula
3/2/2022;LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS;1620;334;5;28;2;1;FRANCIA;EUROPA;1;pelicula
17/2/2022;UNCHARTED: FUERA DEL MAPA;300;300;1;29;1;1;EE.UU;EE.UU;0;pelicula
10/2/2022;EL PISO DEL VIENTO;258;258;1;30;1;0;ARGENTINA;ARGENTINA;1;documental
2/9/2021;TOXICO;455;252;1;31;7;0;ARGENTINA;ARGENTINA;1;pelicula
3/2/2022;CICLO RETROSPECTIVA DE PATRICIO GUZMAN;544;231;1;32;2;;;;;festival
6/1/2022;THE KING' S MAN: EL ORIGEN;37231;221;2;33;6;1;EE.UU;EE.UU;0;pelicula
25/11/2021;EL PERRO QUE NO CALLA;3862;193;1;34;12;0;ARGENTINA;ARGENTINA;1;pelicula
20/1/2022;RIFKINS FESTIVAL;10599;184;3;35;5;1;EE.UU;EE.UU;1;pelicula
10/9/2021;ALMA PURA;224;183;1;36;3;0;ARGENTINA;ARGENTINA;1;pelicula
7/10/2021;VENOM: CARNAGE LIBERADO;854153;165;1;37;20;1;EE.UU;EE.UU;0;pelicula
3/2/2022;JESÚS LÓPEZ;849;160;5;38;2;0;ARGENTINA;ARGENTINA;1;pelicula
15/2/2022;EL CURANDERO;150;150;1;39;1;;;;;
