"","�..Fecha.Estreno","titulo","Entradas.Total","Espec..Semana","Pantallas","Rank","Semana.Cartel","extranjero","pais","region","original","tipo","cantidad","rank"
"1","3/2/2022","MOONFALL",29224,29224,170,5,1,1,"EE.UU","EE.UU",1,"pelicula",1,1
"2","3/2/2022","MADRES PARALELAS",11688,11688,41,10,1,1,"ESPAÑA","EUROPA",1,"pelicula",1,2
"3","3/2/2022","EL REGRESO DE GULLIVER",6129,6129,96,12,1,1,"UCRANIA","EUROPA",0,"pelicula",1,3
"4","3/2/2022","LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS",1286,1286,16,17,1,1,"FRANCIA","EUROPA",1,"pelicula",1,4
"5","3/2/2022","JESÚS LÓPEZ",689,689,3,20,1,0,"ARGENTINA","ARGENTINA",1,"pelicula",1,5
"6","3/2/2022","CICLO RETROSPECTIVA DE PATRICIO GUZMAN",313,313,1,24,1,NA,"","",NA,"festival",1,6
"7","3/2/2022","BUITRES, LA CARA SALVAJE DEL CAPITALISMO",292,292,1,25,1,0,"ARGENTINA","ARGENTINA",1,"documental",1,7
"8","2/2/2022","""ETIQUETA NEGRA""",274,274,1,27,1,NA,"","",NA,"festival",1,8
"9","10/2/2022","CORAZON DE FUEGO",100,100,1,33,1,1,"FRANCIA","EUROPA",1,"pelicula",1,9
"10","10/2/2022","MUERTE EN EL NILO",47062,47062,192,3,1,1,"EE.UU","EE.UU",0,"pelicula",1,10
"11","10/2/2022","EL EXORCISMO DE DIOS",31577,31577,83,4,1,1,"EE.UU","EE.UU",1,"pelicula",1,11
"12","10/2/2022","CASATE CONMIGO",21059,21059,100,6,1,1,"EE.UU","EE.UU",0,"pelicula",1,12
"13","10/2/2022","THE BEATLES GET BACK: EL ÚLTIMO CONCIERTO",3152,3152,2,16,1,1,"EE.UU","EE.UU",1,"documental",1,13
"14","12/2/2022","""CICLO VIVA FELLINI""",1095,1095,1,20,1,NA,"","",NA,"festival",1,14
"15","10/2/2022","LA LUNA REPRESENTA MI CORAZÓN",597,597,2,22,1,0,"ARGENTINA","ARGENTINA",1,"documental",1,15
"16","10/2/2022","NIDO",402,402,1,24,1,0,"ARGENTINA","ARGENTINA",1,"documental",1,16
"17","10/2/2022","LOS PASEOS",355,355,1,27,1,0,"ARGENTINA","ARGENTINA",1,"pelicula",1,17
"18","17/2/2022","UNCHARTED: FUERA DEL MAPA",300,300,1,29,1,1,"EE.UU","EE.UU",0,"pelicula",1,18
"19","10/2/2022","EL PISO DEL VIENTO",258,258,1,30,1,0,"ARGENTINA","ARGENTINA",1,"documental",1,19
"20","15/2/2022","EL CURANDERO",150,150,1,39,1,NA,"","",NA,"",1,20
"21","11/2/2022","A LOS NIÑOS LA BELLEZA",2,2,1,61,1,0,"ARGENTINA","ARGENTINA",1,"pelicula",1,21
"22","17/2/2022","SPENCER",15566,15566,61,6,1,1,"UK","EUROPA",1,"pelicula",1,22
"23","17/2/2022","JUSTICIEROS",2787,2787,37,16,1,1,"DINAMARCA","EUROPA",1,"pelicula",1,23
"24","17/2/2022","NOCHE AMERICANA",2101,2101,45,17,1,0,"ARGENTINA","ARGENTINA",1,"pelicula",1,24
"25","17/2/2022","PUNTO ROJO",668,668,2,24,1,1,"SUECIA","EUROPA",1,"pelicula",1,25
"26","17/2/2022","EL TERRITORIO DEL AMOR",456,456,7,27,1,1,"FRANCIA","EUROPA",1,"pelicula",1,26
"27","17/2/2022","SECTOR VIP",393,393,1,28,1,0,"ARGENTINA","ARGENTINA",1,"pelicula",1,27
"28","19/2/2022","""CINE Y MÚSICA 1""",197,197,1,32,1,NA,"","",NA,"festival",1,28
"29","22/2/2022","""DESDE FINLANDIA CON AMOR""",178,178,1,35,1,NA,"","",NA,"festival",1,29
"30","20/2/2022","""CINE Y MÚSICA 2""",158,158,1,38,1,NA,"","",NA,"festival",1,30
"31","17/2/2022","""ESTRENO DE RAFAEL FILIPELLI""",140,140,1,39,1,NA,"","",NA,"festival",1,31
"32","24/2/2022","JACKASS POR SIEMPRE",100,100,1,42,1,1,"EE.UU","EE.UU",0,"pelicula",1,32
"33","19/2/2022","CHICAS ROLINGAS",8,8,1,63,1,0,"ARGENTINA","ARGENTINA",1,"pelicula",1,33
"34","2/3/2022","BATMAN",44134,44134,327,4,1,1,"EE.UU","EE.UU",0,"pelicula",1,34
"35","24/2/2022","LA LLAMADA FINAL",23510,23510,131,6,1,1,"EE.UU","EE.UU",1,"pelicula",1,35
"36","24/2/2022","BELFAST",12675,12675,92,9,1,1,"UK","EUROPA",1,"pelicula",1,36
"37","24/2/2022","DIGIMON ADVENTURE: LA ULTIMA EVOLUCION",1662,1662,9,20,1,1,"JAPON","ASIA",0,"pelicula",1,37
"38","24/2/2022","RE GRANCHIO",1177,1177,12,22,1,1,"ITALIA","EUROPA",1,"pelicula",1,38
"39","24/2/2022","PASION, AMOR Y MUERTE",950,950,42,24,1,1,"EE.UU","EE.UU",1,"pelicula",1,39
"40","24/2/2022","LAS CERCANAS",931,931,4,25,1,0,"ARGENTINA","ARGENTINA",1,"documental",1,40
"41","24/2/2022","EL HOMBRE QUE VENDIÓ SU PIEL",739,739,13,28,1,1,"TURQUIA","EUROPA",1,"pelicula",1,41
"42","24/2/2022",""" FESTIVAL DE CINE ISRAELÍ - CABA SERET 2022""",698,698,4,29,1,NA,"","",NA,"festival",1,42
"43","24/2/2022","HISTORIAS BREVES 19",364,364,1,34,1,0,"ARGENTINA","ARGENTINA",1,"pelicula",1,43
"44","2/3/2022","REDESCUBRIR A ROBERT BRESSON",198,198,1,42,1,NA,"","",NA,"festival",1,44
"45","1/3/2022","""CICLO CULTURAL SAN MARTIN MARZO 2022""",88,88,1,51,1,NA,"","",NA,"festival",1,45
"46","4/3/2022",""" 3RA SEMANA MUNDIAL DE LA CINEFILIA""",87,87,1,52,1,NA,"","",NA,"festival",1,46
"47","27/2/2022","""MUESTRA ESPECIAL DEL BRASIL""",86,86,1,53,1,NA,"","",NA,"festival",1,47
"48","1/3/2022","""TARDES DE CINE ARTE""",59,59,1,58,1,NA,"","",NA,"festival",1,48
