"","titulo","entradas_mes","entradas_first_semana","entradas_ult_semana","var_entradas_mensual","entradas_semama_anterio","var_pantallas_semana_previa","var_pantallas_mes","var_rank_mensual","var_rank_ult_semana","rank"
"1","UNCHARTED: FUERA DEL MAPA",371373,300,165991,55230.33%,205082,24.48%,42100.00%,28,0,1
"2","SPIDER MAN SIN CAMINO A CASA",345519,128840,61798,-52.04%,61572,6.32%,-32.44%,-1,0,2
"3","SING 2, VEN Y CANTA DE NUEVO",252575,90439,54011,-40.28%,46684,9.52%,-15.51%,-1,0,3
"4","MUERTE EN EL NILO",86366,47062,17585,-62.63%,21719,-34.43%,-58.33%,-4,-2,4
"5","EL EXORCISMO DE DIOS",79755,31577,25112,-20.47%,23066,58.54%,56.63%,-1,-1,5
"6","ENCANTO",75301,23240,17019,-26.77%,14946,15.07%,25.37%,-1,-1,6
"7","SCREAM: GRITA",67733,35903,2414,-93.28%,7181,-46.88%,-87.12%,-15,-8,7
"8","ECOS DE UN CRIMEN",57954,30040,4508,-84.99%,7213,-39.29%,-89.24%,-11,-6,8
"9","MOONFALL",48891,29224,1114,-96.19%,3123,-65.71%,-92.94%,-18,-8,9
"10","PASAJERO 666",47644,27462,922,-96.64%,3875,-52.38%,-90.10%,-20,-13,10
"11","BATMAN",44134,44134,44134,0.00%,NA, NA,0.00%,0,NA,11
"12","LICORICE PIZZA",37795,16269,4924,-69.73%,6302,-25.81%,-56.60%,-6,-2,12
"13","CORAZON DE FUEGO",31246,100,10266,10166.00%,8037,-12.50%,4100.00%,20,-5,13
"14","CASATE CONMIGO",29112,21059,1451,-93.11%,6602,-72.00%,-79.00%,-15,-10,14
"15","EL CALLEJON DE LAS ALMAS PERDIDAS",26470,13261,2492,-81.21%,3544,-52.63%,-82.00%,-8,-3,15
"16","SPENCER",25931,15566,10365,-33.41%,15566,-9.84%,-9.84%,-5,-5,16
"17","LA LLAMADA FINAL",23510,23510,23510,0.00%,NA, NA,0.00%,0,NA,17
"18","MADRES PARALELAS",18788,11688,293,-97.49%,1317,-75.00%,-95.12%,-26,-16,18
"19","CLIFFORD EL GRAN PERRO ROJO",14969,5859,1800,-69.28%,1667,-18.75%,-71.74%,-6,-1,19
