Rank;Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo
1;2/3/2022;BATMAN;977163;184242;419;4;1;EE.UU;EE.UU;Matt Reeves;hombre;0.5;pelicula
2;17/3/2022;LOS TIPOS MALOS;87280;87080;320;2;1;EE.UU;EE.UU;Pierre Perifel;hombre;0;pelicula
3;15/3/2022;COMPETENCIA OFICIAL;32041;31645;99;2;1;ESPAÑA;EUROPA;Gastón Duprat, Mariano Cohn;hombre;0.5;pelicula
4;17/2/2022;UNCHARTED: FUERA DEL MAPA;504170;24543;95;6;1;EE.UU;EE.UU;Ruben Fleischer;hombre;0;pelicula
5;17/3/2022;AMBULANCIA;22570;22570;149;1;1;EE.UU;EE.UU;Michael Bay;hombre;0;pelicula
6;10/2/2022;EL EXORCISMO DE DIOS;119787;11831;53;6;1;EE.UU;EE.UU;Alejandro Hidalgo;hombre;0.5;pelicula
7;17/3/2022;A CIEGAS;7983;7881;63;2;1;CANADA;NORTE AMERICA;Randall Okita;hombre;0;pelicula
8;6/1/2022;SING 2, VEN Y CANTA DE NUEVO;858906;7790;57;13;1;EE.UU;EE.UU;Garth Jennings;hombre;1;pelicula
9;15/12/2021;SPIDER MAN SIN CAMINO A CASA;4026627;7415;37;16;1;EE.UU;EE.UU;Jon Watts;hombre;0;pelicula
10;17/3/2022;TERROR EN EL ESTUDIO 666;2488;2488;26;1;1;EE.UU;EE.UU;BJ McDonnell;hombre;0;pelicula
11;25/11/2021;ENCANTO;709418;2413;20;19;1;EE.UU;EE.UU;Jared Bush, Byron Howard, Charise Castro Smith;mixto;0.5;pelicula
12;10/3/2022;KING;15129;2250;33;3;1;FRANCIA;EUROPA;David Moreau;hombre;0.5;pelicula
13;24/2/2022;BELFAST;20715;1489;19;4;1;UK;EUROPA;Kenneth Branagh;hombre;1;pelicula
14;10/2/2022;MUERTE EN EL NILO;98982;1395;10;6;1;EE.UU;EE.UU;Kenneth Branagh;hombre;0;pelicula
15;24/11/2011;EL PADRINO 50 AÑOS;80200;1301;5;16;1;EE.UU;EE.UU;Francis Ford Coppola;hombre;0.5;pelicula
16;17/3/2022;BREVE ENCUENTRO CON FRANCOIS TRUFFAUT;1174;1174;1;1;;;;;;;festival
17;24/2/2022;LA LLAMADA FINAL;32926;1038;9;4;1;EE.UU;EE.UU;Timothy Woodward Jr.;hombre;0;pelicula
18;1/3/2022;"""ETIQUETA NEGRA MARZO""";965;840;1;2;;;;;;;festival
19;27/1/2022;LICORICE PIZZA;63316;750;6;9;1;EE.UU;EE.UU;Paul Thomas Anderson;hombre;1;pelicula
20;3/3/2022;BAJO LA CORTEZA;1611;743;8;3;0;ARGENTINA;ARGENTINA;Martín Heredia Troncoso;hombre;0.5;pelicula
21;13/1/2022;HOY SE ARREGLA EL MUNDO;71263;702;4;11;0;ARGENTINA;ARGENTINA;Ariel Winograd;hombre;0;pelicula
22;17/2/2022;SPENCER;30982;631;4;5;1;UK;EUROPA;Pablo Larraín;hombre;0;pelicula
23;27/1/2022;ECOS DE UN CRIMEN;100937;470;5;9;0;ARGENTINA;ARGENTINA;Cristian Bernard;hombre;0;pelicula
24;17/3/2022;DRIVE MY CAR;436;436;1;1;1;COREA DEL SUR;ASIA;Ryûsuke Hamaguchi;hombre;0.5;pelicula
25;2/12/2021;EX CASADOS;27546;414;4;14;0;ARGENTINA;ARGENTINA;Sabrina Farji;mujer;0.5;pelicula
26;17/2/2022;NOCHE AMERICANA;2590;400;4;4;0;ARGENTINA;ARGENTINA;Alejandro Bazzano;hombre;0.5;pelicula
27;10/2/2022;CORAZON DE FUEGO;38227;395;5;7;1;FRANCIA;EUROPA;Theodore Ty, Laurent Zeitoun;hombre;0.5;pelicula
28;17/3/2022;OTRA CONDENA;339;339;1;1;0;ARGENTINA;ARGENTINA;Juan Manuel Repetto;hombre;1;pelicula
29;10/3/2022;AXIOMAS;2716;295;5;3;0;ARGENTINA;ARGENTINA;Marcela Luchetta;mujer;0.5;pelicula
30;1/3/2022;"""CICLO CULTURAL SAN MARTIN MARZO 2022""";1185;289;1;4;;;;;;;festival
31;1/3/2022;"""EL CAIRO MARZO- ABRIL 2022""";839;274;1;3;;;;;;;festival
32;22/3/2022;AZOR;270;270;1;1;1;SUIZA;EUROPA;Andreas Fontana;hombre;0.5;pelicula
33;17/3/2022;LA DOSIS;267;267;1;1;0;ARGENTINA;ARGENTINA;Martin Kraut;hombre;1;pelicula
34;10/3/2022;EL PAIS DE LAS ULTIMAS COSAS;594;228;2;2;0;ARGENTINA;ARGENTINA;Alejandro Chomski;hombre;0.5;pelicula
35;25/2/2021;PLANTA PERMANENTE;1064;200;1;15;0;ARGENTINA;ARGENTINA;Ezequiel Radusky;hombre;0.5;pelicula
36;3/3/2022;VOCES DORADAS;910;192;1;2;1;ISRAEL;ASIA;Evgeny Ruman;hombre;0.5;pelicula
37;11/11/2021;LA FORMA DEL BOSQUE;1797;181;1;4;0;ARGENTINA;ARGENTINA;Gonzalo Mellid;hombre;1;pelicula
38;3/3/2022;LAS METAMORFOSIS;398;157;1;3;1;COREA DEL SUR;ASIA;Kim Hong-seon;hombre;0;pelicula
39;27/1/2022;PIEDRA NOCHE;1060;125;1;5;0;ARGENTINA;ARGENTINA;Iván Fund;hombre;0.5;pelicula
40;24/2/2022;RE GRANCHIO;1596;122;5;4;1;ITALIA;EUROPA;Alessio Rigo de Righi, Matteo Zoppis;hombre;1;pelicula
41;4/3/2022;ATLAS;414;122;1;3;1;SUIZA;EUROPA;Niccolò Castelli;hombre;0.5;pelicula
42;13/1/2022;EL EMPLEADO Y EL PATRON;1251;112;2;10;1;URUGUAY;LATAM;Manuel Nieto Zas;hombre;1;pelicula
43;25/11/2021;EL PERRO QUE NO CALLA;4756;110;1;17;0;ARGENTINA;ARGENTINA;Ana Katz;mujer;0.5;pelicula
44;20/12/2018;LA CASA DE LOS CONEJOS;4102;97;3;12;0;ARGENTINA;ARGENTINA;Valeria Selinger;mujer;1;pelicula
45;9/12/2021;CLIFFORD EL GRAN PERRO ROJO;94071;87;2;17;1;EE.UU;EE.UU;Walt Becker;hombre;0;pelicula
46;3/2/2022;LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS;2264;84;1;7;1;FRANCIA;EUROPA;Emmanuel Mouret;hombre;1;pelicula
47;10/3/2022;SWORD ART ONLINE PROGRESSIVE: ARIA DE UNA NOCHE SIN ESTR..;7276;79;3;2;1;JAPON;ASIA;Ayako Kawano;mujer;0;pelicula
