"","Titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","entradas_first_semana","semanas_total","pantallas_max","pantallas_mes","pantallas_ult_semana","pantallas_semana_anterior","pantallas_first_semana","semanas_mes","pais","region","tipo","cantidad","mes","�..Rank","rank_mes","rank_anterior","rank_total"
"1","BATMAN",1070186,137157,184242,439417,5,556,1845,347,419,556,4,"EE.UU","EE.UU","pelicula",1,"MARZO",1,1,1,1
"2","LOS TIPOS MALOS",174545,87265,87080,200,3,320,624,303,320,1,3,"EE.UU","EE.UU","pelicula",1,"MARZO",2,34,2,2
"3","UNCHARTED: FUERA DEL MAPA",153641,20844,24543,65540,7,174,511,77,95,174,4,"EE.UU","EE.UU","pelicula",1,"MARZO",5,2,4,3
"4","JUJUTSU KAISEN 0",72405,72405,NA,72405,1,103,103,103,NA,103,1,"JAPON","ASIA","pelicula",1,"MARZO",3,3,NA,4
"5","SING 2, VEN Y CANTA DE NUEVO",62110,6934,7790,26074,14,136,366,42,57,136,4,"EE.UU","EE.UU","pelicula",1,"MARZO",10,4,8,5
"6","SPIDER MAN SIN CAMINO A CASA",60272,4854,7415,28778,17,114,276,28,37,114,4,"EE.UU","EE.UU","pelicula",1,"MARZO",12,3,9,6
"7","COMPETENCIA OFICIAL",60257,28216,31645,396,3,126,227,126,99,2,3,"ESPAÑA","EUROPA","pelicula",1,"MARZO",4,25,3,7
"8","EL EXORCISMO DE DIOS",49547,9515,11831,13147,7,55,200,38,53,55,4,"EE.UU","EE.UU","pelicula",1,"MARZO",8,5,6,8
"9","AMBULANCIA",35677,13107,22570,22570,2,163,312,163,149,149,2,"EE.UU","EE.UU","pelicula",1,"MARZO",6,5,5,9
"10","""BTS PERMISSION TO DANCE ON STAGE - SEOUL: LIVE""",21097,21097,NA,21097,1,49,49,49,NA,49,1,"EE.UU","EE.UU","pelicula",1,"MARZO",4,4,NA,10
