"","Titulo","entradas_mes","entradas_first_semana","entradas_ult_semana","var_entradas_mensual","entradas_semama_anterio","var_pantallas_semana_previa","var_pantallas_mes","var_rank_mensual","var_rank_ult_semana","rank"
"1","BATMAN",1070186,439417,137157,-68.79%,184242,-17.18%,-37.59%,0,0,1
"2","LOS TIPOS MALOS",174545,200,87265,43532.50%,87080,-5.31%,30200.00%,32,0,2
"3","UNCHARTED: FUERA DEL MAPA",153641,65540,20844,-68.20%,24543,-18.95%,-55.75%,-3,-1,3
"4","JUJUTSU KAISEN 0",72405,72405,72405,0.00%,NA, NA,0.00%,0,NA,4
"5","SING 2, VEN Y CANTA DE NUEVO",62110,26074,6934,-73.41%,7790,-26.32%,-69.12%,-6,-2,5
"6","SPIDER MAN SIN CAMINO A CASA",60272,28778,4854,-83.13%,7415,-24.32%,-75.44%,-9,-3,6
"7","COMPETENCIA OFICIAL",60257,396,28216,7025.25%,31645,27.27%,6200.00%,21,-1,7
"8","EL EXORCISMO DE DIOS",49547,13147,9515,-27.63%,11831,-28.30%,-30.91%,-3,-2,8
"9","AMBULANCIA",35677,22570,13107,-41.93%,22570,9.40%,9.40%,-1,-1,9
"10","""BTS PERMISSION TO DANCE ON STAGE - SEOUL: LIVE""",21097,21097,21097,0.00%,NA, NA,0.00%,0,NA,10
"11","ENCANTO",17293,5867,2876,-50.98%,2413,20.00%,-53.85%,-5,-2,11
"12","KING",16252,99,1123,1034.34%,2250,-69.70%,900.00%,20,-8,12
"13","MUERTE EN EL NILO",13302,7370,686,-90.69%,1395,-50.00%,-82.76%,-20,-12,13
"14","EL PADRINO 50 AÑOS",10878,4786,1339,-72.02%,1301,40.00%,-46.15%,-7,-1,14
"15","A CIEGAS",10687,102,2704,2550.98%,7881,-60.32%,2400.00%,25,-7,15
"16","TIEMPOS VIOLENTOS",10472,10472,10472,0.00%,NA, NA,0.00%,0,NA,16
"17","LA LLAMADA FINAL",9969,6305,553,-91.23%,1038,-44.44%,-88.10%,-22,-12,17
