Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo;genero
31/3/2022;MORBIUS;158587;158158;380;1;2;1;EE.UU;EE.UU;Daniel Espinosa;hombre;0;pelicula;terror
2/3/2022;BATMAN;1187194;70922;252;2;6;1;EE.UU;EE.UU;Matt Reeves;hombre;0.5;pelicula;thriller
17/3/2022;LOS TIPOS MALOS;227704;52028;229;3;4;1;EE.UU;EE.UU;Pierre Perifel;hombre;0;pelicula;animacion
24/3/2022;JUJUTSU KAISEN 0;102798;29996;130;4;2;1;JAPON;ASIA;Sunghoo Park;hombre;0;pelicula;animacion
15/3/2022;COMPETENCIA OFICIAL;74129;13472;64;5;4;1;ESPAÑA;EUROPA;Gastón Duprat, Mariano Cohn;hombre;0.5;pelicula;comedia
17/2/2022;UNCHARTED: FUERA DEL MAPA;535522;10379;57;6;8;1;EE.UU;EE.UU;Ruben Fleischer;hombre;0;pelicula;aventura
10/2/2022;EL EXORCISMO DE DIOS;137177;7773;30;7;8;1;EE.UU;EE.UU;Alejandro Hidalgo;hombre;0.5;pelicula;terror
21/10/2021;CODA;11958;7700;63;8;7;1;EE.UU;EE.UU;Siân Heder;mujer;1;pelicula;drama 
9/3/1995;TIEMPOS VIOLENTOS;15006;4517;20;9;2;1;EE.UU;EE.UU;Quentin Tarantino;hombre;1;pelicula;thriller
6/1/2022;SING 2, VEN Y CANTA DE NUEVO;869572;3627;27;10;15;1;EE.UU;EE.UU;Garth Jennings;hombre;1;pelicula;animacion
15/12/2021;SPIDER MAN SIN CAMINO A CASA;4034865;3560;20;11;18;1;EE.UU;EE.UU;Jon Watts;hombre;0;pelicula;fantasia
25/11/2021;ENCANTO;714866;2450;23;12;21;1;EE.UU;EE.UU;Jared Bush, Byron Howard, Charise Castro Smith;mixto;0.5;pelicula;animacion
17/3/2022;AMBULANCIA;37864;2012;20;13;3;1;EE.UU;EE.UU;Michael Bay;hombre;0;pelicula;accion
24/3/2022;HASTA LA MUERTE;8760;1090;9;14;2;1;EE.UU;EE.UU;S.K. Dale;hombre;0;pelicula;thriller
31/3/2022;LA RUEDA DE LA FORTUNA Y LA FANTASIA;877;877;10;15;1;1;JAPON;ASIA;Ryûsuke Hamaguchi;hombre;1;pelicula;drama 
