Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo;genero
7/4/2022;SONIC 2: LA PELICULA;340134;339784;426;1;2;1;EE.UU;EE.UU;Jeff Fowler;hombre;0;pelicula;aventura
31/3/2022;MORBIUS;233211;74624;322;2;3;1;EE.UU;EE.UU;Daniel Espinosa;hombre;0;pelicula;terror
2/3/2022;BATMAN;1231177;43983;171;3;7;1;EE.UU;EE.UU;Matt Reeves;hombre;0.5;pelicula;thriller
17/3/2022;LOS TIPOS MALOS;253372;25668;143;4;5;1;EE.UU;EE.UU;Pierre Perifel;hombre;0;pelicula;animacion
7/4/2022;JACK EN LA CAJA MALDITA;25293;25293;116;5;1;1;UK ;EUROPA;Lawrence Fowler;hombre;1;pelicula;terror
24/3/2022;JUJUTSU KAISEN 0;114392;11594;80;6;3;1;JAPON;ASIA;Sunghoo Park;hombre;0;pelicula;animacion
15/3/2022;COMPETENCIA OFICIAL;82017;7888;36;7;5;1;ESPAÑA;EUROPA;Gastón Duprat, Mariano Cohn;hombre;0.5;pelicula;comedia
10/2/2022;EL EXORCISMO DE DIOS;142716;5539;19;8;9;1;EE.UU;EE.UU;Alejandro Hidalgo;hombre;0.5;pelicula;terror
17/2/2022;UNCHARTED: FUERA DEL MAPA;541008;5486;24;9;9;1;EE.UU;EE.UU;Ruben Fleischer;hombre;0;pelicula;aventura
7/4/2022;CMON CMON;5081;5081;49;10;1;1;EE.UU;EE.UU;Mike Mills;hombre;1;pelicula;drama 
7/4/2022;LAS COSAS QUE NO TE CONTÉ;2794;2794;18;11;1;1;UK;EUROPA;William Nicholson;hombre;1;pelicula;drama 
9/3/1995;TIEMPOS VIOLENTOS;17303;2297;11;12;3;1;EE.UU;EE.UU;Quentin Tarantino;hombre;1;pelicula;thriller
21/10/2021;CODA;13427;1469;13;13;8;1;EE.UU;EE.UU;Siân Heder;mujer;1;pelicula;drama 
6/1/2022;SING 2, VEN Y CANTA DE NUEVO;871033;1461;16;14;16;1;EE.UU;EE.UU;Garth Jennings;hombre;1;pelicula;animacion
15/12/2021;SPIDER MAN SIN CAMINO A CASA;4036104;1239;8;15;19;1;EE.UU;EE.UU;Jon Watts;hombre;0;pelicula;fantasia
