"","Titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","entradas_first_semana","semanas_total","pantallas_max","pantallas_mes","pantallas_ult_semana","pantallas_semana_anterior","pantallas_first_semana","semanas_mes","pais","region","tipo","cantidad","mes","Rank","rank_mes","rank_anterior","direccion","director","rank_total"
"1","SONIC 2: LA PELICULA",722645,144916,237595,350,4,426,1163,340,396,1,4,"EE.UU","EE.UU","pelicula",1,"ABRIL",1,26,2,"hombre","NO GUIONISTA",1
"2","ANIMALES FANTASTICOS: LOS SECRETOS DE DUMBLEDORE",436600,125385,310414,801,3,431,787,353,431,3,3,"UK","EUROPA","pelicula",1,"ABRIL",2,20,1,"hombre","NO GUIONISTA",2
"3","MORBIUS",282691,12427,37482,158158,5,380,902,72,128,380,4,"EE.UU","EE.UU","pelicula",1,"ABRIL",5,1,3,"hombre","NO GUIONISTA",3
"4","BATMAN",155972,12242,28825,70922,9,252,561,50,88,252,4,"EE.UU","EE.UU","pelicula",1,"ABRIL",6,2,4,"hombre","CO-GUIONISTA",4
"5","LOS TIPOS MALOS",104591,10301,16594,52028,7,229,520,65,83,229,4,"EE.UU","EE.UU","pelicula",1,"ABRIL",7,3,5,"hombre","NO GUIONISTA",5
"6","JACK EN LA CAJA MALDITA",47670,7327,15050,25293,3,116,224,37,71,116,3,"UK ","EUROPA","pelicula",1,"ABRIL",10,5,6,"hombre","GUIONISTA",6
"7","LA CIUDAD PERDIDA",46878,46726,152,152,2,176,177,176,1,1,2,"EE.UU","EE.UU","pelicula",1,"ABRIL",3,41,41,"hombre","CO-GUIONISTA",7
"8","JUJUTSU KAISEN 0",45579,1032,2957,29996,5,130,239,7,22,130,4,"JAPON","ASIA","pelicula",1,"ABRIL",16,4,10,"hombre","NO GUIONISTA",8
"9","EL HOMBRE DEL NORTE",42306,42306,NA,42306,1,163,163,163,NA,163,1,"EE.UU","EE.UU","pelicula",1,"ABRIL",4,4,NA,"hombre","CO-GUIONISTA",9
"10","COMPETENCIA OFICIAL",30217,3020,5837,13472,7,64,137,15,22,64,4,"ESPAÑA","EUROPA","pelicula",1,"ABRIL",11,5,8,"hombre","CO-GUIONISTA",10
"11","UNCHARTED: FUERA DEL MAPA",20104,995,3244,10379,11,57,100,8,11,57,4,"EE.UU","EE.UU","pelicula",1,"ABRIL",17,6,9,"hombre","NO GUIONISTA",11
"12","EL EXORCISMO DE DIOS",17698,1899,2487,7773,11,30,67,8,10,30,4,"EE.UU","EE.UU","pelicula",1,"ABRIL",13,7,11,"hombre","CO-GUIONISTA",12
"13","CODA",9930,168,593,7700,10,63,83,2,5,63,4,"EE.UU","EE.UU","pelicula",1,"ABRIL",34,8,19,"mujer","GUIONISTA",13
"14","LAS ROJAS",9913,1802,8111,8111,2,57,79,22,57,57,2,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",14,7,7,"hombre","CO-GUIONISTA",14
"15","VIRUS: 32",9736,9736,NA,9736,1,82,82,82,NA,82,1,"URUGUAY","LATAM","pelicula",1,"ABRIL",8,8,NA,"hombre","NO GUIONISTA",15
"16","DESESPERADA",9591,9493,98,98,2,64,65,64,1,1,2,"EE.UU","EE.UU","pelicula",1,"ABRIL",9,48,48,"hombre","NO GUIONISTA",16
"17","TIEMPOS VIOLENTOS",8363,269,1280,4517,5,20,41,2,8,20,4,"EE.UU","EE.UU","pelicula",1,"ABRIL",28,9,15,"hombre","GUIONISTA",17
"18","CMON CMON",6869,583,1205,5081,3,49,63,5,9,49,3,"EE.UU","EE.UU","pelicula",1,"ABRIL",23,10,16,"hombre","GUIONISTA",18
"19","SING 2, VEN Y CANTA DE NUEVO",6475,569,818,3627,18,27,51,4,4,27,4,"EE.UU","EE.UU","pelicula",1,"ABRIL",24,10,18,"hombre","GUIONISTA",19
"20","SPIDER MAN SIN CAMINO A CASA",5447,228,420,3560,21,20,32,2,2,20,4,"EE.UU","EE.UU","pelicula",1,"ABRIL",30,11,24,"hombre","NO GUIONISTA",20
"21","LAS COSAS QUE NO TE CONTÉ",4935,698,1443,2794,3,18,35,5,12,18,3,"UK","EUROPA","pelicula",1,"ABRIL",20,11,13,"hombre","GUIONISTA",21
"22","ENCANTO",4071,298,395,2450,24,23,43,5,4,23,4,"EE.UU","EE.UU","pelicula",1,"ABRIL",26,12,25,"mixto","CO-GUIONISTA",22
"23","SEVENTEEN POWER OF LOVE",4028,2170,1858,1858,2,26,50,24,26,26,2,"COREA","ASIA","documental",1,"ABRIL",12,12,12,"hombre","GUIONISTA",23
"24","AMBULANCIA",3090,303,775,2012,5,20,26,2,4,20,3,"EE.UU","EE.UU","pelicula",1,"ABRIL",27,13,21,"hombre","NO GUIONISTA",24
"25","""EL CAIRO MARZO- ABRIL 2022""",2043,914,427,331,8,1,4,1,1,1,4,"","","festival",1,"ABRIL",18,29,23,"",NA,25
