"","Titulo","entradas_mes","entradas_first_semana","entradas_ult_semana","var_entradas_mensual","entradas_semama_anterio","var_pantallas_semana_previa","var_pantallas_mes","var_rank_mensual","var_rank_ult_semana","rank"
"1","SONIC 2: LA PELICULA",722645,350,144916,41304.57%,237595,-14.14%,33900.00%,25,1,1
"2","ANIMALES FANTASTICOS: LOS SECRETOS DE DUMBLEDORE",436600,801,125385,15553.56%,310414,-18.10%,11666.67%,18,-1,2
"3","MORBIUS",282691,158158,12427,-92.14%,37482,-43.75%,-81.05%,-4,-2,3
"4","BATMAN",155972,70922,12242,-82.74%,28825,-43.18%,-80.16%,-4,-2,4
"5","LOS TIPOS MALOS",104591,52028,10301,-80.20%,16594,-21.69%,-71.62%,-4,-2,5
"6","JACK EN LA CAJA MALDITA",47670,25293,7327,-71.03%,15050,-47.89%,-68.10%,-5,-4,6
"7","LA CIUDAD PERDIDA",46878,152,46726,30640.79%,152,17500.00%,17500.00%,38,38,7
"8","JUJUTSU KAISEN 0",45579,29996,1032,-96.56%,2957,-68.18%,-94.62%,-12,-6,8
"9","EL HOMBRE DEL NORTE",42306,42306,42306,0.00%,NA, NA,0.00%,0,NA,9
"10","COMPETENCIA OFICIAL",30217,13472,3020,-77.58%,5837,-31.82%,-76.56%,-6,-3,10
"11","UNCHARTED: FUERA DEL MAPA",20104,10379,995,-90.41%,3244,-27.27%,-85.96%,-11,-8,11
"12","EL EXORCISMO DE DIOS",17698,7773,1899,-75.57%,2487,-20.00%,-73.33%,-6,-2,12
"13","CODA",9930,7700,168,-97.82%,593,-60.00%,-96.83%,-26,-15,13
"14","LAS ROJAS",9913,8111,1802,-77.78%,8111,-61.40%,-61.40%,-7,-7,14
"15","VIRUS: 32",9736,9736,9736,0.00%,NA, NA,0.00%,0,NA,15
"16","DESESPERADA",9591,98,9493,9586.73%,98,6300.00%,6300.00%,39,39,16
"17","TIEMPOS VIOLENTOS",8363,4517,269,-94.04%,1280,-75.00%,-90.00%,-19,-13,17
"18","CMON CMON",6869,5081,583,-88.53%,1205,-44.44%,-89.80%,-13,-7,18
"19","SING 2, VEN Y CANTA DE NUEVO",6475,3627,569,-84.31%,818,0.00%,-85.19%,-14,-6,19
"20","SPIDER MAN SIN CAMINO A CASA",5447,3560,228,-93.60%,420,0.00%,-90.00%,-19,-6,20
"21","LAS COSAS QUE NO TE CONTÉ",4935,2794,698,-75.02%,1443,-58.33%,-72.22%,-9,-7,21
"22","ENCANTO",4071,2450,298,-87.84%,395,25.00%,-78.26%,-14,-1,22
"23","SEVENTEEN POWER OF LOVE",4028,1858,2170,16.79%,1858,-7.69%,-7.69%,0,0,23
"24","AMBULANCIA",3090,2012,303,-84.94%,775,-50.00%,-90.00%,-14,-6,24
"25","""EL CAIRO MARZO- ABRIL 2022""",2043,331,914,176.13%,427,0.00%,0.00%,11,5,25
"26","EL JOVEN AHMED",1900,1384,516,-62.72%,1384,-40.00%,-40.00%,-11,-11,26
"27","UNA SEMANA CON BERGMAN - 9NA SEMANA DE CINE PORTUGUES ..",1606,816,282,-65.44%,508,0.00%,0.00%,-9,-7,27
"28","EL ULTIMO ZOMBI",1556,1236,161,-86.97%,159,200.00%,-57.14%,-19,5,28
"29","LICORICE PIZZA",1345,336,840,150.00%,119,100.00%,-33.33%,9,27,29
"30","BELFAST",1224,616,199,-67.69%,176,100.00%,-60.00%,-14,2,30
"31","AZOR",1211,724,20,-97.24%,185,-60.00%,-60.00%,-40,-24,31
"32","SALIR DE PUTA",1211,816,395,-51.59%,816,0.00%,0.00%,-7,-7,32
"33","LA LLAMADA FINAL",1164,505,219,-56.63%,213,100.00%,-33.33%,-11,0,33
"34","DESPUES DEL RECREO",1139,1139,1139,0.00%,NA, NA,0.00%,0,NA,34
"35","LA RUEDA DE LA FORTUNA Y LA FANTASIA",1099,877,222,-74.69%,877,-70.00%,-70.00%,-24,-24,35
"36","HASTA LA MUERTE",1090,1090,1090,0.00%,NA, NA,0.00%,0,NA,36
"37","MISERERE",1002,5,27,440.00%,970,-50.00%,0.00%,19,-37,37
"38","A CIEGAS",882,638,244,-61.76%,638,-71.43%,-71.43%,-16,-16,38
"39","EXHIBICIÓN DE RYUSUKE HAMAGUCHI",868,434,434,0.00%,434,0.00%,0.00%,0,0,39
"40","EL PADRINO 50 AÑOS",813,436,377,-13.53%,436,-66.67%,-66.67%,-2,-2,40
"41","""ESPANORAMAS""",806,806,806,0.00%,NA, NA,0.00%,0,NA,41
"42","LAS NOCHES SON DE LOS MONSTRUOS",774,141,108,-23.40%,266,-25.00%,200.00%,3,-9,42
"43","ECOS DE UN CRIMEN",660,134,350,161.19%,176,100.00%,200.00%,16,15,43
"44","EL LARGO VIAJE DE ALEJANDRO BORDON",651,651,651,0.00%,NA, NA,0.00%,0,NA,44
"45","CICLO ABRIL - GCBA",618,140,160,14.29%,318,0.00%,0.00%,3,-9,45
"46","EN LA MIRA",603,603,603,0.00%,NA, NA,0.00%,0,NA,46
"47","RE GRANCHIO",602,204,232,13.73%,166,100.00%,100.00%,8,8,47
"48","MARIA LUISA BEMBERG EL ECO DE MI VOZ",505,505,505,0.00%,NA, NA,0.00%,0,NA,48
"49","LAS METAMORFOSIS",477,477,477,0.00%,NA, NA,0.00%,0,NA,49
"50","LA SOMBRA DEL GALLO",456,335,121,-63.88%,335,0.00%,0.00%,-17,-17,50
"51","ULTIMA PIEZA",433,373,60,-83.91%,373,100.00%,100.00%,-29,-29,51
"52","AIRE FRESCO",428,351,77,-78.06%,351,0.00%,0.00%,-30,-30,52
"53","VICENTA",428,337,91,-73.00%,337,0.00%,0.00%,-24,-24,53
"54","AXIOMAS",389,37,59,59.46%,121,0.00%,100.00%,19,2,54
"55","1982",386,361,14,-96.12%,11,0.00%,-93.33%,-37,2,55
"56","CORAZON DE FUEGO",386,260,126,-51.54%,260,-75.00%,-75.00%,-16,-16,56
"57","YO TRAIDOR",383,114,46,-59.65%,210,-66.67%,0.00%,5,-14,57
