Rank;Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo;genero
1;4/5/2022;DOCTOR STRANGE EN EL MULTIVERSO DE LA LOCURA;130924;130924;518;1;1;EE.UU;EE.UU;Sam Raimi;hombre;0;pelicula;fantasia
2;7/4/2022;SONIC 2: LA PELICULA;821887;98353;380;5;1;EE.UU;EE.UU;Jeff Fowler;hombre;0;pelicula;aventura
3;14/4/2022;ANIMALES FANTASTICOS: LOS SECRETOS DE DUMBLEDORE;500821;63988;298;4;1;UK;EUROPA;David Yates;hombre;0;pelicula;fantasia
4;21/4/2022;LA CIUDAD PERDIDA;78019;31141;214;3;1;EE.UU;EE.UU;Aaron Nee, Adam Nee;hombre;0.5;pelicula;aventura
5;21/4/2022;EL HOMBRE DEL NORTE;72448;30111;182;2;1;EE.UU;EE.UU;Robert Eggers;hombre;0.5;pelicula;aventura
6;28/4/2022;EN LA MIRA;29568;28965;249;2;0;ARGENTINA;ARGENTINA;Ricardo Hornos, Carlos Gil;hombre;0.5;pelicula;thriller
7;19/4/2022;BAFICI 2022;48689;13439;1;3;;;;;;;festival;
8;17/3/2022;LOS TIPOS MALOS;290471;10102;70;8;1;EE.UU;EE.UU;Pierre Perifel;hombre;0;pelicula;animacion
9;2/3/2022;BATMAN;1279387;6818;40;10;1;EE.UU;EE.UU;Matt Reeves;hombre;0.5;pelicula;thriller
10;7/4/2022;JACK EN LA CAJA MALDITA;53485;5778;41;4;1;UK ;EUROPA;Lawrence Fowler;hombre;1;pelicula;terror
11;28/4/2022;DOWNTON ABBEY: UNA NUEVA ERA;4786;4722;86;2;1;UK;EUROPA;Simon Curtis;hombre;0;pelicula;drama 
12;31/3/2022;MORBIUS;287489;4317;44;6;1;EE.UU;EE.UU;Daniel Espinosa;hombre;0;pelicula;terror
13;21/4/2022;DESESPERADA;12822;3231;34;3;1;EE.UU;EE.UU;Phillip Noyce;hombre;0;pelicula;thriller
14;28/4/2022;EL BUEN PATRON;2836;2836;27;1;1;ESPAÑA;EUROPA;Fernando León de Aranoa;hombre;1;pelicula;comedia
15;21/4/2022;VIRUS: 32;12338;2602;55;2;1;URUGUAY;LATAM;Gustavo Hernández;hombre;0;pelicula;terror
16;15/3/2022;COMPETENCIA OFICIAL;92507;1633;13;8;1;ESPAÑA;EUROPA;Gastón Duprat, Mariano Cohn;hombre;0.5;pelicula;comedia
