Rank;Fecha Estreno;Titulo;Espec. Semana;Entradas Total;Pantallas;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo;genero
1;4/5/2022;DOCTOR STRANGE EN EL MULTIVERSO DE LA LOCURA;918266;1049190;651;2;1;EE.UU;EE.UU;Sam Raimi;hombre;0;pelicula;fantasia
2;7/4/2022;SONIC 2: LA PELICULA;90199;912086;187;6;1;EE.UU;EE.UU;Jeff Fowler;hombre;0;pelicula;aventura
3;14/4/2022;ANIMALES FANTASTICOS: LOS SECRETOS DE DUMBLEDORE;32097;532918;112;5;1;UK;EUROPA;David Yates;hombre;0;pelicula;fantasia
4;21/4/2022;EL HOMBRE DEL NORTE;13893;86341;39;3;1;EE.UU;EE.UU;Robert Eggers;hombre;0.5;pelicula;aventura
5;28/4/2022;EN LA MIRA;13357;42925;102;3;0;ARGENTINA;ARGENTINA;Ricardo Hornos, Carlos Gil;hombre;0.5;pelicula;thriller
6;21/4/2022;LA CIUDAD PERDIDA;11584;89603;54;4;1;EE.UU;EE.UU;Aaron Nee, Adam Nee;hombre;0.5;pelicula;aventura
7;17/3/2022;LOS TIPOS MALOS;4644;295115;30;9;1;EE.UU;EE.UU;Pierre Perifel;hombre;0;pelicula;animacion
8;5/5/2022;FICIC FESTIVAL INTERNACIONAL DE CINE INDEPENDIENTE DE COSQ..;1559;1559;1;1;;;;;;;festival;
9;14/4/2022;LAS ROJAS;1441;12043;6;4;0;ARGENTINA;ARGENTINA;Matías Lucchesi;hombre;0.5;pelicula;drama 
10;28/4/2022;EL BUEN PATRON;1429;4265;10;2;1;ESPAÑA;EUROPA;Fernando León de Aranoa;hombre;1;pelicula;comedia
11;2/3/2022;BATMAN;1197;1280584;5;11;1;EE.UU;EE.UU;Matt Reeves;hombre;0.5;pelicula;thriller
12;10/2/2022;EL EXORCISMO DE DIOS;1065;150165;5;13;1;EE.UU;EE.UU;Alejandro Hidalgo;hombre;0.5;pelicula;terror
13;7/4/2022;JACK EN LA CAJA MALDITA;1056;54541;5;5;1;UK ;EUROPA;Lawrence Fowler;hombre;1;pelicula;terror
14;28/4/2022;DOWNTON ABBEY: UNA NUEVA ERA;1038;5824;10;3;1;UK;EUROPA;Simon Curtis;hombre;0;pelicula;drama 
15;1/5/2022;CINECLUB NÚCLEO EN GAUMONT - MAYO 2022;970;1640;1;2;;;;;;;festival;
16;15/3/2022;COMPETENCIA OFICIAL;851;93358;7;9;1;ESPAÑA;EUROPA;Gastón Duprat, Mariano Cohn;hombre;0.5;pelicula;comedia
17;5/5/2022;MATAR A LA BESTIA;765;765;7;1;0;ARGENTINA;ARGENTINA;Agustina San Martín;mujer;1;pelicula;drama 
18;5/5/2022;VUELTA AL PERRO;698;698;6;1;0;ARGENTINA;ARGENTINA;Nicolás Di Cocco;hombre;0.5;pelicula;drama 
19;7/4/2022;CMON CMON;577;7718;4;5;1;EE.UU;EE.UU;Mike Mills;hombre;1;pelicula;drama 
20;28/10/2021;YO NENA YO PRINCESA;544;45423;1;16;0;ARGENTINA;ARGENTINA;Federico Palazzo;hombre;1;pelicula;drama 
21;2/5/2022;EL CAIRO MAYO/JUNIO;486;486;1;1;;;;;;;festival;
22;5/5/2022;MAQUINA PARA VER EL ALMA;431;431;1;1;0;ARGENTINA;ARGENTINA;Ana Laura Monserrat Nahuel Srnec;mixto;0.5;pelicula;ciencia ficcion
23;6/1/2022;SING 2, VEN Y CANTA DE NUEVO;397;874140;6;20;1;EE.UU;EE.UU;Garth Jennings;hombre;1;pelicula;animacion
24;3/5/2022;ESPECIAL 71 ANIVERSARIO DEL CINE TEATRO HELIOS;343;450;1;2;;;;;;;festival;
25;31/3/2022;MORBIUS;337;287826;5;7;1;EE.UU;EE.UU;Daniel Espinosa;hombre;0;pelicula;terror
26;7/4/2022;LAS COSAS QUE NO TE CONTÉ;292;5686;3;5;1;UK;EUROPA;William Nicholson;hombre;1;pelicula;drama 
27;28/10/2021;EL ARPONERO;249;418;1;5;1;NORUEGA;EUROPA;Mirko Stopar;hombre;1;documental;documental
28;10/3/2022;AXIOMAS;207;3677;6;10;0;ARGENTINA;ARGENTINA;Marcela Luchetta;mujer;0.5;pelicula;drama 
29;14/4/2022;EL JOVEN AHMED;205;2192;2;4;1;BELGICA;EUROPA;Jean-Pierre Dardenne, Luc Dardenne;hombre;1;pelicula;drama 
30;25/11/2021;ENCANTO;155;717254;2;26;1;EE.UU;EE.UU;Jared Bush, Byron Howard, Charise Castro Smith;mixto;0.5;pelicula;animacion
31;13/2/2020;SONIC LA PELICULA;140;701574;1;25;1;EE.UU;EE.UU;Jeff Fowler;hombre;0;pelicula;ciencia ficcion
32;24/2/2022;BELFAST;139;23648;1;11;1;UK;EUROPA;Kenneth Branagh;hombre;1;pelicula;drama 
33;23/9/2021;UNDINE;125;1701;1;5;1;ALEMANIA;EUROPA;Christian Petzold;hombre;1;pelicula;romance
34;21/4/2022;DESESPERADA;123;12945;1;4;1;EE.UU;EE.UU;Phillip Noyce;hombre;0;pelicula;thriller
35;21/4/2022;DESPUES DEL RECREO;119;1637;1;3;0;ARGENTINA;ARGENTINA;Mariano Laguyas;hombre;1;pelicula;romcom
36;24/2/2022;LA LLAMADA FINAL;114;34951;2;11;1;EE.UU;EE.UU;Timothy Woodward Jr.;hombre;0;pelicula;terror
37;11/5/2022;CICLO CINE FRANCÉS;94;94;1;1;;;;;;;festival;
38;3/5/2022;RETROSPECTIVA DE JOSE L.TORRES LEIVA;90;142;1;2;;;;;;;festival;
39;11/3/2021;VICENTA;87;542;1;6;0;ARGENTINA;ARGENTINA;Darío Doria;hombre;0.5;documental;documental
40;24/2/2022;RE GRANCHIO;87;2402;6;10;1;ITALIA;EUROPA;Alessio Rigo de Righi, Matteo Zoppis;hombre;1;pelicula;drama 
41;31/3/2022;AIRE FRESCO;87;515;1;4;0;ARGENTINA;ARGENTINA;Andrés Cuervo;hombre;0;pelicula;drama 
42;12/5/2022;LLAMAS DE VENGANZA;85;85;1;1;1;EE.UU;EE.UU;Keith Thomas;hombre;0;pelicula;thriller
43;28/4/2022;DESIERTO PARTICULAR;82;569;2;2;1;BRASIL;LATAM;Aly Muritiba;hombre;0.5;pelicula;romance
44;15/12/2021;SPIDER MAN SIN CAMINO A CASA;78;4039005;1;23;1;EE.UU;EE.UU;Jon Watts;hombre;0;pelicula;fantasia
45;2/12/2021;EX CASADOS;74;28082;1;21;0;ARGENTINA;ARGENTINA;Sabrina Farji;mujer;0.5;pelicula;romcom
46;7/4/2022;EL ULTIMO ZOMBI;70;1749;4;5;0;ARGENTINA;ARGENTINA;Martín Basterretche;hombre;0.5;pelicula;terror
47;27/1/2022;ECOS DE UN CRIMEN;69;102346;1;14;0;ARGENTINA;ARGENTINA;Cristian Bernard;hombre;0;pelicula;thriller
48;17/2/2022;UNCHARTED: FUERA DEL MAPA;69;546942;1;13;1;EE.UU;EE.UU;Ruben Fleischer;hombre;0;pelicula;aventura
49;27/1/2022;LICORICE PIZZA;64;65964;1;15;1;EE.UU;EE.UU;Paul Thomas Anderson;hombre;1;pelicula;drama 
50;21/4/2022;VIRUS: 32;59;12397;2;3;1;URUGUAY;LATAM;Gustavo Hernández;hombre;0;pelicula;terror
51;13/1/2022;HOY SE ARREGLA EL MUNDO;56;71774;1;18;0;ARGENTINA;ARGENTINA;Ariel Winograd;hombre;0;pelicula;drama 
52;21/4/2022;EL LARGO VIAJE DE ALEJANDRO BORDON;54;832;1;3;0;ARGENTINA;ARGENTINA;Marcelo Goyeneche;hombre;1;documental;documental
53;14/4/2022;MADRE PLANTA;54;295;2;2;0;ARGENTINA;ARGENTINA;Lisandro Costa, Alejandro Espolsino, Francisco López;hombre;1;documental;documental
54;2/5/2022;""" ETIQUETA NEGRA MAYO 2022""";44;83;1;2;;;;;;;festival;
