Fecha Estreno;Espec. Semana;Titulo;Entradas Total;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo;genero
4/5/2022;248247;DOCTOR STRANGE EN EL MULTIVERSO DE LA LOCURA;1726617;552;1;4;1;EE.UU;EE.UU;Sam Raimi;hombre;0;pelicula;fantasia
7/4/2022;93057;SONIC 2: LA PELICULA;1093228;264;2;8;1;EE.UU;EE.UU;Jeff Fowler;hombre;0;pelicula;aventura
25/5/2022;52033;TOP GUN: MAVERICK;52033;277;3;1;1;EE.UU;EE.UU;Joseph Kosinski;hombre;0;pelicula;accion
19/5/2022;30845;ASESINO SIN MEMORIA;30845;141;4;1;1;EE.UU;EE.UU;Martin Campbell;hombre;0;pelicula;thriller
14/4/2022;13657;ANIMALES FANTASTICOS: LOS SECRETOS DE DUMBLEDORE;566821;66;5;7;1;UK;EUROPA;David Yates;hombre;0;pelicula;fantasia
19/5/2022;13251;EL PESO DEL TALENTO;14196;143;6;2;1;EE.UU;EE.UU;Tom Gormican;hombre;0.5;pelicula;comedia
12/5/2022;12568;LA MEDIUM;30228;74;7;2;1;TAILANDIA;ASIA;Banjong Pisanthanakun;hombre;0.5;pelicula;terror
19/5/2022;6979;TWENTY ONE PILOTS;6979;35;8;1;1;EE.UU;EE.UU;Jason Zada;hombre;;documental;documental
17/3/2022;6541;LOS TIPOS MALOS;305824;33;9;11;1;EE.UU;EE.UU;Pierre Perifel;hombre;0;pelicula;animacion
21/4/2022;5499;EL HOMBRE DEL NORTE;100062;23;10;5;1;EE.UU;EE.UU;Robert Eggers;hombre;0.5;pelicula;aventura
12/5/2022;4959;LLAMAS DE VENGANZA;21234;119;11;3;1;EE.UU;EE.UU;Keith Thomas;hombre;0;pelicula;thriller
19/5/2022;4650;FRANKLIN, HISTORIA DE UN BILLETE;4800;59;12;2;0;ARGENTINA;ARGENTINA;Lucas Vivo García Lagos;hombre;0.5;pelicula;thriller
28/4/2022;3412;EN LA MIRA;53704;27;13;5;0;ARGENTINA;ARGENTINA;Ricardo Hornos, Carlos Gil;hombre;0.5;pelicula;thriller
21/4/2022;3267;LA CIUDAD PERDIDA;98193;19;14;6;1;EE.UU;EE.UU;Aaron Nee, Adam Nee;hombre;0.5;pelicula;aventura
19/5/2022;2052;DOLCE FINE GIORNATA;2052;17;15;1;1;POLONIA;EUROPA;Jacek Borcuch;hombre;1;pelicula;drama 
19/5/2022;1743;BOMBONERA, LA PELICULA;1743;13;16;1;0;ARGENTINA;ARGENTINA;Leandro Baquela;hombre;1;documental;documental
10/2/2022;1205;EL EXORCISMO DE DIOS;152328;7;17;15;1;EE.UU;EE.UU;Alejandro Hidalgo;hombre;0.5;pelicula;terror
14/4/2022;1090;LAS ROJAS;14091;6;18;6;0;ARGENTINA;ARGENTINA;Matías Lucchesi;hombre;0.5;pelicula;drama 
1/5/2022;970;CINECLUB NÚCLEO EN GAUMONT - MAYO 2022;3280;1;19;4;;;;;;;festival;
19/5/2022;756;RECATATE CON LOS PIBES;756;1;20;1;0;ARGENTINA;ARGENTINA;Mariano Corbacho, Marcos Coria;hombre;1;documental;documental
7/4/2022;716;JACK EN LA CAJA MALDITA;55616;3;21;7;1;UK ;EUROPA;Lawrence Fowler;hombre;1;pelicula;terror
12/5/2022;621;UN AMOR CERCA DEL PARAÍSO;1972;10;22;2;1;FINLANDIA;EUROPA;Mika Kaurismäki;hombre;0;pelicula;comedia
28/4/2022;616;EL BUEN PATRON;5885;7;23;4;1;ESPAÑA;EUROPA;Fernando León de Aranoa;hombre;1;pelicula;comedia
12/5/2022;507;INTEGRAL ANAHÍ BERNERI Y MALAS CASAS;1011;1;24;2;;;;;;;festival;
2/5/2022;505;EL CAIRO MAYO/JUNIO;1210;1;25;3;;;;;;;festival;
17/5/2022;459;""" ENCUENTRO CON EL NUEVO CINE COREANO""";572;1;26;2;;;;;;;festival;
12/5/2022;439;SISTEMA K.E.OP/S;2592;1;27;2;0;ARGENTINA;ARGENTINA;Nicolás Goldbart;hombre;1;pelicula;comedia
5/5/2022;416;MATAR A LA BESTIA;1927;4;28;3;0;ARGENTINA;ARGENTINA;Agustina San Martín;mujer;1;pelicula;drama 
19/5/2022;410;HIJAS DE LA COMEDIA;410;1;29;1;0;ARGENTINA;ARGENTINA;Victoria Carreras;mujer;0.5;documental;documental
18/3/2021;394;CARROCEROS;691;1;30;9;0;ARGENTINA;ARGENTINA;Mariano Frigerio, Denise Urfeig;mixto;1;documental;documental
21/4/2022;348;VIRUS: 32;13037;3;31;5;1;URUGUAY;LATAM;Gustavo Hernández;hombre;0;pelicula;terror
21/5/2022;322;CORSINI INTERPRETA A BLOMBERG Y MACIEL;322;1;32;1;0;ARGENTINA;ARGENTINA;Mariano Llinás;hombre;0.5;documental;documental
31/3/2022;297;LA RUEDA DE LA FORTUNA Y LA FANTASIA;1653;3;33;5;1;JAPON;ASIA;Ryûsuke Hamaguchi;hombre;1;pelicula;drama 
6/1/2022;202;SING 2, VEN Y CANTA DE NUEVO;874694;4;34;22;1;EE.UU;EE.UU;Garth Jennings;hombre;1;pelicula;animacion
15/3/2022;197;COMPETENCIA OFICIAL;94475;4;35;11;1;ESPAÑA;EUROPA;Gastón Duprat, Mariano Cohn;hombre;0.5;pelicula;comedia
12/5/2022;161;SIETE RITMOS;272;1;36;2;0;ARGENTINA;ARGENTINA;Julia Rotondi;mujer;1;pelicula;drama 
5/5/2022;147;VUELTA AL PERRO;1202;8;37;3;0;ARGENTINA;ARGENTINA;Nicolás Di Cocco;hombre;0.5;pelicula;drama 
19/5/2022;144;LOCOMOTORA;144;1;38;1;0;ARGENTINA;ARGENTINA;Andrés Vernetti;hombre;0;documental;documental
7/4/2022;141;CMON CMON;8202;1;39;7;1;EE.UU;EE.UU;Mike Mills;hombre;1;pelicula;drama 
24/2/2022;129;LA LLAMADA FINAL;35172;1;40;13;1;EE.UU;EE.UU;Timothy Woodward Jr.;hombre;0;pelicula;terror
25/11/2021;127;EL PERRO QUE NO CALLA;5655;2;41;24;0;ARGENTINA;ARGENTINA;Ana Katz;mujer;0.5;pelicula;drama 
26/9/2019;125;LA SOMBRA DEL GALLO;1821;5;42;11;0;ARGENTINA;ARGENTINA;Nicolás Herzog;hombre;0.5;pelicula;thriller
