Espec. Semana;Fecha Estreno;Titulo;Entradas Total;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo;genero
248813;25/5/2022;TOP GUN: MAVERICK;300846;433;1;2;1;EE.UU;EE.UU;Joseph Kosinski;hombre;0;pelicula;accion
112181;4/5/2022;DOCTOR STRANGE EN EL MULTIVERSO DE LA LOCURA;1838798;269;2;5;1;EE.UU;EE.UU;Sam Raimi;hombre;0;pelicula;fantasia
59863;7/4/2022;SONIC 2: LA PELICULA;1153091;187;3;9;1;EE.UU;EE.UU;Jeff Fowler;hombre;0;pelicula;aventura
17349;19/5/2022;ASESINO SIN MEMORIA;48194;78;4;2;1;EE.UU;EE.UU;Martin Campbell;hombre;0;pelicula;thriller
9381;26/5/2022;EL PEQUEÑO NINJA;9381;88;5;1;1;DINAMARCA;EUROPA;Thorbjørn Christoffersen, Anders Matthesen;hombre;0.5;pelicula;animacion
5975;14/4/2022;ANIMALES FANTASTICOS: LOS SECRETOS DE DUMBLEDORE;572796;26;6;8;1;UK;EUROPA;David Yates;hombre;0;pelicula;fantasia
5884;12/5/2022;LA MEDIUM;36112;25;7;3;1;TAILANDIA;ASIA;Banjong Pisanthanakun;hombre;0.5;pelicula;terror
4525;17/3/2022;LOS TIPOS MALOS;310349;24;8;12;1;EE.UU;EE.UU;Pierre Perifel;hombre;0;pelicula;animacion
2884;21/4/2022;EL HOMBRE DEL NORTE;102946;15;9;6;1;EE.UU;EE.UU;Robert Eggers;hombre;0.5;pelicula;aventura
2390;19/5/2022;EL PESO DEL TALENTO;16586;17;10;3;1;EE.UU;EE.UU;Tom Gormican;hombre;0.5;pelicula;comedia
2099;26/5/2022;BOBS BURGERS: LA PELICULA;2099;51;11;1;1;EE.UU;EE.UU;Loren Bouchard, Bernard Derriman;hombre;0.5;pelicula;animacion
1548;21/4/2022;LA CIUDAD PERDIDA;99741;7;12;7;1;EE.UU;EE.UU;Aaron Nee, Adam Nee;hombre;0.5;pelicula;aventura
1440;26/5/2022;CAMILA SALDRA ESTA NOCHE;1523;13;13;2;0;ARGENTINA;ARGENTINA;Inés María Barrionuevo;mujer;0.5;pelicula;drama 
1360;28/4/2022;EN LA MIRA;55064;10;14;6;0;ARGENTINA;ARGENTINA;Ricardo Hornos, Carlos Gil;hombre;0.5;pelicula;thriller
1172;19/5/2022;DOLCE FINE GIORNATA;3224;10;15;2;1;POLONIA;EUROPA;Jacek Borcuch;hombre;1;pelicula;drama 
1046;10/2/2022;EL EXORCISMO DE DIOS;153374;6;16;16;1;EE.UU;EE.UU;Alejandro Hidalgo;hombre;0.5;pelicula;terror
670;1/5/2022;CINECLUB NÚCLEO EN GAUMONT - MAYO 2022;3950;1;17;5;;;;;;;festival;
635;12/5/2022;INTEGRAL ANAHÍ BERNERI Y MALAS CASAS;1646;1;18;3;;;;;;;festival;
620;17/5/2022;""" ENCUENTRO CON EL NUEVO CINE COREANO""";1192;1;19;3;;;;;;;festival;
594;26/5/2022;MI MEJOR AMIGO;594;10;20;1;1;TURQUIA;ASIA;Ferit Karahan;hombre;0.5;pelicula;drama 
592;26/5/2022;STUD, FREE PUB;592;1;21;1;0;ARGENTINA;ARGENTINA;Ariel Raiman;hombre;0.5;documental;documental
574;19/5/2022;FRANKLIN, HISTORIA DE UN BILLETE;5374;22;22;3;0;ARGENTINA;ARGENTINA;Lucas Vivo García Lagos;hombre;0.5;pelicula;thriller
566;12/5/2022;UN AMOR CERCA DEL PARAÍSO;2538;5;23;3;1;FINLANDIA;EUROPA;Mika Kaurismäki;hombre;0;pelicula;comedia
521;2/5/2022;EL CAIRO MAYO/JUNIO;1731;1;24;4;;;;;;;festival;
500;7/4/2022;CMON CMON;8702;2;25;8;1;EE.UU;EE.UU;Mike Mills;hombre;1;pelicula;drama 
434;5/5/2022;MATAR A LA BESTIA;2361;7;26;4;0;ARGENTINA;ARGENTINA;Agustina San Martín;mujer;1;pelicula;drama 
420;29/5/2022;LXS DESOBEDIENTES;420;1;27;1;0;ARGENTINA;ARGENTINA;Nadir Medina;mujer;1;pelicula;ciencia ficcion
387;25/11/2021;ENCANTO;717856;4;28;29;1;EE.UU;EE.UU;Jared Bush, Byron Howard, Charise Castro Smith;mixto;0.5;pelicula;animacion
383;6/1/2022;SING 2, VEN Y CANTA DE NUEVO;875077;6;29;23;1;EE.UU;EE.UU;Garth Jennings;hombre;1;pelicula;animacion
377;27/5/2022;"""EPA CINE""";377;1;30;1;;;;;;;festival;
350;2/6/2022;JURASSIC WORLD DOMINIO;350;3;31;1;1;EE.UU;EE.UU;Colin Trevorrow;hombre;0.5;pelicula;ciencia ficcion
333;21/4/2022;VIRUS: 32;13370;6;32;6;1;URUGUAY;LATAM;Gustavo Hernández;hombre;0;pelicula;terror
332;12/5/2022;LLAMAS DE VENGANZA;21566;5;33;4;1;EE.UU;EE.UU;Keith Thomas;hombre;0;pelicula;thriller
284;12/5/2022;SISTEMA K.E.OP/S;2876;1;34;3;0;ARGENTINA;ARGENTINA;Nicolás Goldbart;hombre;1;pelicula;comedia
282;28/4/2022;EL BUEN PATRON;6167;3;35;5;1;ESPAÑA;EUROPA;Fernando León de Aranoa;hombre;1;pelicula;comedia
209;15/3/2022;COMPETENCIA OFICIAL;94684;4;36;12;1;ESPAÑA;EUROPA;Gastón Duprat, Mariano Cohn;hombre;0.5;pelicula;comedia
203;14/4/2022;LAS ROJAS;14294;5;37;7;0;ARGENTINA;ARGENTINA;Matías Lucchesi;hombre;0.5;pelicula;drama 
193;14/4/2022;MADRE PLANTA;513;1;38;5;0;ARGENTINA;ARGENTINA;Lisandro Costa, Alejandro Espolsino, Francisco López;hombre;1;documental;documental
140;5/5/2022;CICLO MAYO 2022;386;1;39;4;;;;;;;festival;
118;17/3/2022;CICLO DE CINE DE ANIMÉ;170;1;40;4;;;;;;;festival;
116;24/2/2022;LA LLAMADA FINAL;35288;1;41;14;1;EE.UU;EE.UU;Timothy Woodward Jr.;hombre;0;pelicula;terror
111;25/11/2021;EL PERRO QUE NO CALLA;5766;2;42;25;0;ARGENTINA;ARGENTINA;Ana Katz;mujer;0.5;pelicula;drama 
105;21/5/2022;CORSINI INTERPRETA A BLOMBERG Y MACIEL;427;1;43;2;0;ARGENTINA;ARGENTINA;Mariano Llinás;hombre;0.5;documental;documental
97;7/4/2022;JACK EN LA CAJA MALDITA;55713;1;44;8;1;UK ;EUROPA;Lawrence Fowler;hombre;1;pelicula;terror
78;10/3/2022;AXIOMAS;4152;2;45;13;0;ARGENTINA;ARGENTINA;Marcela Luchetta;mujer;0.5;pelicula;drama 
75;1/11/2021;SOLA;1405;2;46;9;0;ARGENTINA;ARGENTINA;José María Cicala;hombre;1;pelicula;drama 
70;14/4/2022;EL JOVEN AHMED;2275;2;47;6;1;BELGICA;EUROPA;Jean-Pierre Dardenne, Luc Dardenne;hombre;1;pelicula;drama 
69;31/3/2022;LA RUEDA DE LA FORTUNA Y LA FANTASIA;1722;1;48;6;1;JAPON;ASIA;Ryûsuke Hamaguchi;hombre;1;pelicula;drama 
65;31/5/2022;"""MUESTRA MAE WEST""";65;1;49;1;;;;;;;festival;
47;28/10/2021;EL ARPONERO;547;1;50;8;1;NORUEGA;EUROPA;Mirko Stopar;hombre;1;documental;documental
47;11/11/2021;LA FORMA DEL BOSQUE;1990;2;51;9;0;ARGENTINA;ARGENTINA;Gonzalo Mellid;hombre;1;pelicula;terror
42;16/12/2021;VIDA POETA - HOMERO EXPÓSITO;770;1;52;7;0;ARGENTINA;ARGENTINA;Claudia Sandina;mujer;1;documental;documental
41;21/4/2022;EL LARGO VIAJE DE ALEJANDRO BORDON;900;3;53;5;0;ARGENTINA;ARGENTINA;Marcelo Goyeneche;hombre;1;documental;documental
30;10/3/2022;LAS NOCHES SON DE LOS MONSTRUOS;1627;1;54;12;0;ARGENTINA;ARGENTINA;Sebastian Perillo;hombre;0;pelicula;fantasia
25;17/3/2022;LA DOSIS;399;2;55;4;0;ARGENTINA;ARGENTINA;Martin Kraut;hombre;1;pelicula;thriller
23;2/5/2022;""" ETIQUETA NEGRA MAYO 2022""";141;1;56;4;;;;;;;festival;
19;1/5/2022;"""UN LARGO ADIÓS: EL MARLOWE DE CHANDLER""";91;1;57;4;;;;;;;festival;
17;6/1/2022;YO TRAIDOR;4821;1;58;18;0;ARGENTINA;ARGENTINA;Rodrigo Fernandez Engler;hombre;0.5;pelicula;drama 
10;18/3/2021;TOMANDO ESTADO;370;1;59;5;0;ARGENTINA;ARGENTINA;Federico Sosa;hombre;1;pelicula;drama 
8;1/5/2022;"""FOECX COLUMBIA""";31;1;60;4;;;;;;;festival;
6;7/4/2022;ULTIMA PIEZA;450;1;61;5;0;ARGENTINA;ARGENTINA;Luciano Romero;hombre;;pelicula;drama 
4;26/9/2019;LA SOMBRA DEL GALLO;1825;1;62;12;0;ARGENTINA;ARGENTINA;Nicolás Herzog;hombre;0.5;pelicula;thriller
1;19/5/2022;HIJAS DE LA COMEDIA;411;1;63;2;0;ARGENTINA;ARGENTINA;Victoria Carreras;mujer;0.5;documental;documental
