Rank;cantidad;Fecha Estreno;Titulo;Espec. Semana;Semana Cartel;Entradas Total;Pantallas;extranjero;pais;region ;original ;tipo
1;1;15/12/2021;SPIDER MAN SIN CAMINO A CASA;234013;7;3262180;340;1;EE.UU;EE.UU;0;pelicula
2;1;6/1/2022;SING 2, VEN Y CANTA DE NUEVO;145398;4;314466;333;1;EE.UU;EE.UU;0;pelicula
3;1;13/1/2022;SCREAM: GRITA;94799;2;94949;236;1;EE.UU;EE.UU;0;pelicula
4;1;13/1/2022;HOY SE ARREGLA EL MUNDO;31721;2;31771;237;0;ARGENTINA;ARGENTINA;1;pelicula
5;1;25/11/2021;ENCANTO;10900;10;587271;37;1;EE.UU;EE.UU;1;pelicula
6;1;23/12/2021;MATRIX RESURRECCIONES;9028;6;188259;25;1;EE.UU;EE.UU;0;pelicula
7;1;6/1/2022;THE KING' S MAN: EL ORIGEN;7503;2;28816;40;1;EE.UU;EE.UU;0;pelicula
8;1;6/1/2022;MY HERO ACADEMIA: MISION MUNDIAL DE HEROES;5548;2;22911;41;1;JAPON ;ASIA;0;pelicula
9;1;13/1/2022;LA ULTIMA NOCHE;2897;1;2897;33;1;UK;EUROPA;1;pelicula
10;1;30/12/2021;EL ARO RESURRECCION;2360;4;20356;14;1;CHINA;ASIA;0;pelicula
11;1;9/12/2021;CLIFFORD EL GRAN PERRO ROJO;1592;8;73141;10;1;EE.UU;EE.UU;0;pelicula
12;1;25/11/2021;LA CASA GUCCI;1501;10;129160;7;1;EE.UU;EE.UU;1;pelicula
13;1;6/1/2022;YO TRAIDOR;794;2;3261;5;0;ARGENTINA;ARGENTINA;1;pelicula
14;1;13/1/2022;EL EMPLEADO Y EL PATRON;652;1;652;2;1;URUGUAY;LATAM;1;pelicula
15;1;2/12/2021;EX CASADOS;592;6;24202;3;0;ARGENTINA;ARGENTINA;1;pelicula
16;1;18/11/2021;LA CRONICA FRANCESA;440;10;36314;1;1;EE.UU;EE.UU;1;pelicula
17;1;9/12/2021;AMOR SIN BARRERA;403;8;14665;3;1;EE.UU;EE.UU;0;pelicula
18;1;9/12/2021;EL CUENTO DEL TIO;380;5;3511;2;0;ARGENTINA;ARGENTINA;1;pelicula
19;1;30/12/2021;SEXO DESAFORTUNADO O PORNO LOCO;280;4;1613;3;1;RUMANIA;EUROPA;1;pelicula
20;1;4/7/2019;SPIDER-MAN: LEJOS DE CASA;137;24;1304659;1;1;EE.UU;EE.UU;0;pelicula
21;1;20/1/2022;REIFINKS FESTIVAL;133;1;133;1;1;EE.UU;EE.UU;1;pelicula
22;1;10/6/1999;MATRIX;120;28;12489;1;1;EE.UU;EE.UU;1;pelicula
23;1;30/12/2021;LA TEORIA DE LOS VIDRIOS ROTOS;114;4;596;3;1;URUGUAY;LATAM;1;pelicula
24;1;20/1/2022;BELLE;99;2;219;1;0;JAPON ;ASIA;1;pelicula
25;1;28/10/2021;YO NENA YO PRINCESA;83;11;42635;2;0;ARGENTINA;ARGENTINA;1;pelicula
26;1;6/1/2022;HUSEK;79;2;427;2;0;ARGENTINA;ARGENTINA;1;pelicula
27;1;30/9/2021;EL PROFUGO;64;13;24715;1;0;ARGENTINA;ARGENTINA;1;pelicula
28;1;30/12/2021;CHANGO LA LUZ DESCUBRE;47;3;196;3;0;ARGENTINA;ARGENTINA;1;documental
29;1;7/10/2021;VENOM: CARNAGE LIBERADO;46;16;851133;1;1;EE.UU;EE.UU;0;pelicula
30;1;6/5/2021;ERRANTE CORAZON;26;10;3256;1;0;ARGENTINA;ARGENTINA;1;pelicula
31;1;9/12/2021;EL PERFECTO DAVID;17;4;807;2;0;ARGENTINA;ARGENTINA;1;pelicula
32;1;20/1/2022;CERRO QUEMADO;16;1;16;1;0;ARGENTINA;ARGENTINA;1;documental
33;1;23/9/2021;KARNAWAL;10;10;1761;1;0;ARGENTINA;ARGENTINA;1;pelicula
