"","Titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","semanas_total","semanas_mes","pais","region","tipo","pantallas_max","pantallas_mes","cantidad","mes"
"1","9",85,29,29,4,3,"URUGUAY","LATAM","pelicula",2,4,1,"ENERO"
"2","A UN CLICK DE DISTANCIA",586,586,NA,2,1,"EE.UU","EE.UU","pelicula",26,26,1,"ENERO"
"3","AGENTES 355",4729,4729,NA,1,1,"EE.UU","EE.UU","pelicula",84,84,1,"ENERO"
"4","AMOR SIN BARRERA",1823,312,403,9,4,"EE.UU","EE.UU","pelicula",5,13,1,"ENERO"
"5","BELLE",9248,9149,99,3,2,"JAPON ","ASIA","pelicula",99,100,1,"ENERO"
"6","BODA NEGRA",5446,5446,NA,1,1,"RUSIA","EUROPA","pelicula",42,42,1,"ENERO"
"7","BUFONES DE LA RISASTENCIA",244,244,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,1,1,"ENERO"
"8","CERRO QUEMADO",21,5,16,2,2,"ARGENTINA","ARGENTINA","documental",1,2,1,"ENERO"
"9","CHANGO LA LUZ DESCUBRE",196,47,50,3,3,"ARGENTINA","ARGENTINA","documental",3,5,1,"ENERO"
"10","CLIFFORD EL GRAN PERRO ROJO",8415,1992,1592,9,4,"EE.UU","EE.UU","pelicula",36,60,1,"ENERO"
"11","ECOS DE UN CRIMEN",277,277,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",2,2,1,"ENERO"
"12","EL APEGO",14,14,NA,8,1,"ARGENTINA","ARGENTINA","pelicula",1,1,1,"ENERO"
"13","EL ARO RESURRECCION",19093,686,2360,5,4,"CHINA","ASIA","pelicula",71,110,1,"ENERO"
"14","EL CUENTO DEL TIO",958,46,380,6,3,"ARGENTINA","ARGENTINA","pelicula",4,9,1,"ENERO"
"15","EL EMPLEADO Y EL PATRON",852,200,652,2,2,"URUGUAY","LATAM","pelicula",3,5,1,"ENERO"
"16","EL PERFECTO DAVID",151,33,17,5,4,"ARGENTINA","ARGENTINA","pelicula",2,7,1,"ENERO"
"17","EL PERRO QUE NO CALLA",32,32,NA,9,1,"ARGENTINA","ARGENTINA","pelicula",2,2,1,"ENERO"
"18","EL PROFUGO",64,64,NA,13,1,"ARGENTINA","ARGENTINA","pelicula",1,1,1,"ENERO"
"19","ENCANTO",54981,13319,10900,11,4,"EE.UU","EE.UU","pelicula",126,274,1,"ENERO"
"20","ERRANTE CORAZON",26,26,NA,10,1,"ARGENTINA","ARGENTINA","pelicula",1,1,1,"ENERO"
"21","ESE FIN DE SEMANA",16,16,NA,5,1,"ARGENTINA","ARGENTINA","pelicula",1,1,1,"ENERO"
"22","ESPIRITUS OSCUROS",59,59,NA,12,1,"EE.UU","EE.UU","pelicula",1,1,1,"ENERO"
"23","ETERNALS",12,12,NA,11,1,"EE.UU","EE.UU","pelicula",1,1,1,"ENERO"
