Fecha Estreno;titulo;Entradas Total;Espec. Semana;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;original ;tipo
15/12/2021;SPIDER MAN SIN CAMINO A CASA;3754091;128840;299;1;10;1;EE.UU;EE.UU;0;pelicula
6/1/2022;SING 2, VEN Y CANTA DE NUEVO;641594;90439;245;2;7;1;EE.UU;EE.UU;0;pelicula
13/1/2022;SCREAM: GRITA;268337;35903;132;3;5;1;EE.UU;EE.UU;0;pelicula
27/1/2022;ECOS DE UN CRIMEN;69871;30040;158;4;3;0;ARGENTINA;ARGENTINA;1;pelicula
3/2/2022;MOONFALL;29224;29224;170;5;1;1;EE.UU;EE.UU;1;pelicula
3/2/2022;PASAJERO 666;27561;27462;101;6;2;1;RUSIA;EUROPA;1;pelicula
25/11/2021;ENCANTO;642940;23240;67;7;13;1;EE.UU;EE.UU;1;pelicula
27/1/2022;LICORICE PIZZA;37094;16269;53;8;3;1;EE.UU;EE.UU;1;pelicula
27/1/2022;EL CALLEJON DE LAS ALMAS PERDIDAS;29982;13261;50;9;2;1;EE.UU;EE.UU;1;pelicula
3/2/2022;MADRES PARALELAS;11688;11688;41;10;1;1;ESPAÑA;EUROPA;1;pelicula
13/1/2022;HOY SE ARREGLA EL MUNDO;66513;6248;31;11;5;0;ARGENTINA;ARGENTINA;1;pelicula
3/2/2022;EL REGRESO DE GULLIVER;6129;6129;96;12;1;1;UCRANIA;EUROPA;0;pelicula
9/12/2021;CLIFFORD EL GRAN PERRO ROJO;83683;5859;46;13;11;1;EE.UU;EE.UU;0;pelicula
23/12/2021;MATRIX RESURRECCIONES;203283;2537;13;14;9;1;EE.UU;EE.UU;0;pelicula
25/11/2021;LA CASA GUCCI;134389;1793;7;15;13;1;EE.UU;EE.UU;1;pelicula
6/1/2022;THE KING' S MAN: EL ORIGEN;37010;1527;10;16;5;1;EE.UU;EE.UU;0;pelicula
3/2/2022;LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS;1286;1286;16;17;1;1;FRANCIA;EUROPA;1;pelicula
20/1/2022;BELLE;11408;796;5;18;5;1;JAPON ;ASIA;1;pelicula
20/1/2022;RIFKINS FESTIVAL;10415;709;7;19;4;1;EE.UU;EE.UU;1;pelicula
3/2/2022;JESÚS LÓPEZ;689;689;3;20;1;0;ARGENTINA;ARGENTINA;1;pelicula
16/12/2021;VIDA POETA - HOMERO EXPÓSITO;669;563;1;21;3;0;ARGENTINA;ARGENTINA;1;documental
6/1/2022;MY HERO ACADEMIA: MISION MUNDIAL DE HEROES;26781;498;4;22;5;1;JAPON ;ASIA;0;pelicula
30/12/2021;EL ARO RESURRECCION;21891;392;2;23;7;1;CHINA;ASIA;0;pelicula
3/2/2022;CICLO RETROSPECTIVA DE PATRICIO GUZMAN;313;313;1;24;1;;;;;festival
3/2/2022;BUITRES, LA CARA SALVAJE DEL CAPITALISMO;292;292;1;25;1;0;ARGENTINA;ARGENTINA;1;documental
6/1/2022;YO TRAIDOR;4084;288;3;26;5;0;ARGENTINA;ARGENTINA;1;pelicula
2/2/2022;"""ETIQUETA NEGRA""";274;274;1;27;1;;;;;festival
28/10/2021;LA VIDA DORMIDA;577;256;1;28;7;0;ARGENTINA;ARGENTINA;1;documental
25/11/2021;EL PERRO QUE NO CALLA;3669;193;1;29;11;0;ARGENTINA;ARGENTINA;1;pelicula
20/1/2022;BODA NEGRA;6800;182;3;30;3;1;RUSIA;EUROPA;1;pelicula
18/11/2021;LA CRONICA FRANCESA;37115;164;1;31;13;1;EE.UU;EE.UU;1;pelicula
2/12/2021;EX CASADOS;25028;111;2;32;9;0;ARGENTINA;ARGENTINA;1;pelicula
10/2/2022;CORAZON DE FUEGO;100;100;1;33;1;1;FRANCIA;EUROPA;1;pelicula
4/7/2019;SPIDER-MAN: LEJOS DE CASA;1305268;96;1;34;27;1;EE.UU;EE.UU;0;pelicula
28/10/2021;EL SECRETO DE MARO;5486;85;3;35;9;0;ARGENTINA;ARGENTINA;1;pelicula
2/12/2021;MILAGRO DE OTOÑO;1631;82;1;36;7;0;ARGENTINA;ARGENTINA;1;pelicula
27/1/2022;PIEDRA NOCHE;732;81;2;37;2;0;ARGENTINA;ARGENTINA;1;pelicula
24/1/2022;VERANO DE CINE ARTE;275;76;1;38;3;;;;;festival
9/12/2021;AMOR SIN BARRERA;15152;72;1;39;11;1;EE.UU;EE.UU;0;pelicula
7/10/2021;VENOM: CARNAGE LIBERADO;853988;64;1;40;19;1;EE.UU;EE.UU;0;pelicula
13/1/2022;EL EMPLEADO Y EL PATRON;982;59;5;41;4;1;URUGUAY;LATAM;1;pelicula
9/12/2021;TRES EN LA DERIVA DEL ACTO CREATIVO;654;33;1;42;4;0;ARGENTINA;ARGENTINA;1;documental
4/11/2021;EL APEGO;1515;31;1;43;9;0;ARGENTINA;ARGENTINA;1;pelicula
9/12/2021;EL CUENTO DEL TIO;3605;27;1;44;8;0;ARGENTINA;ARGENTINA;1;pelicula
6/1/2022;HUSEK;834;27;1;45;5;0;ARGENTINA;ARGENTINA;1;pelicula
23/12/2021;9;232;22;3;46;6;1;URUGUAY;LATAM;1;pelicula
1/1/2022;MUESTRA FUNDACIÓN COLUMBIA ENERO-ABRIL;42;21;1;47;3;;;;;festival
23/12/2021;LA SOMBRA DEL GATO;741;16;1;48;7;0;ARGENTINA;ARGENTINA;1;pelicula
9/12/2021;UN JABALI AL ACECHO;437;8;1;49;6;0;ARGENTINA;ARGENTINA;1;pelicula
30/12/2021;LA TEORIA DE LOS VIDRIOS ROTOS;623;7;1;50;7;1;URUGUAY;LATAM;1;pelicula
20/1/2022;AGENTES 355;5061;5;1;51;3;1;EE.UU;EE.UU;1;pelicula
9/12/2021;EL PERFECTO DAVID;868;2;1;52;7;;;;;
