"","titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","entradas_first_semana","semanas_total","pais","region","tipo","pantallas_max","pantallas_mes","cantidad","mes","semanas_mes","rank"
"1","UNCHARTED: FUERA DEL MAPA",371373,165991,205082,300,3,"EE.UU","EE.UU","pelicula",422,762,1,"FEBRERO",1,1
"2","SPIDER MAN SIN CAMINO A CASA",345519,61798,61572,128840,13,"EE.UU","EE.UU","pelicula",299,939,1,"FEBRERO",1,2
"3","SING 2, VEN Y CANTA DE NUEVO",252575,54011,46684,90439,10,"EE.UU","EE.UU","pelicula",245,856,1,"FEBRERO",1,3
"4","MUERTE EN EL NILO",86366,17585,21719,47062,3,"EE.UU","EE.UU","pelicula",192,394,1,"FEBRERO",1,4
"5","EL EXORCISMO DE DIOS",79755,25112,23066,31577,3,"EE.UU","EE.UU","pelicula",130,295,1,"FEBRERO",1,5
"6","ENCANTO",75301,17019,14946,23240,16,"EE.UU","EE.UU","pelicula",92,316,1,"FEBRERO",1,6
"7","SCREAM: GRITA",67733,2414,7181,35903,8,"EE.UU","EE.UU","pelicula",132,261,1,"FEBRERO",1,7
"8","ECOS DE UN CRIMEN",57954,4508,7213,30040,6,"ARGENTINA","ARGENTINA","pelicula",158,282,1,"FEBRERO",1,8
"9","MOONFALL",48891,1114,3123,29224,4,"EE.UU","EE.UU","pelicula",170,336,1,"FEBRERO",1,9
"10","PASAJERO 666",47644,922,3875,27462,5,"RUSIA","EUROPA","pelicula",101,206,1,"FEBRERO",1,10
"11","BATMAN",44134,44134,NA,44134,1,"EE.UU","EE.UU","pelicula",327,327,1,"FEBRERO",1,11
"12","LICORICE PIZZA",37795,4924,6302,16269,6,"EE.UU","EE.UU","pelicula",53,148,1,"FEBRERO",1,12
"13","CORAZON DE FUEGO",31246,10266,8037,100,4,"FRANCIA","EUROPA","pelicula",87,178,1,"FEBRERO",1,13
"14","CASATE CONMIGO",29112,1451,6602,21059,3,"EE.UU","EE.UU","pelicula",100,196,1,"FEBRERO",1,14
"15","EL CALLEJON DE LAS ALMAS PERDIDAS",26470,2492,3544,13261,5,"EE.UU","EE.UU","pelicula",50,103,1,"FEBRERO",1,15
"16","SPENCER",25931,10365,15566,15566,2,"UK","EUROPA","pelicula",61,116,1,"FEBRERO",1,16
"17","LA LLAMADA FINAL",23510,23510,NA,23510,1,"EE.UU","EE.UU","pelicula",131,131,1,"FEBRERO",1,17
"18","MADRES PARALELAS",18788,293,1317,11688,4,"ESPAÑA","EUROPA","pelicula",41,77,1,"FEBRERO",1,18
"19","CLIFFORD EL GRAN PERRO ROJO",14969,1800,1667,5859,14,"EE.UU","EE.UU","pelicula",46,119,1,"FEBRERO",1,19
"20","BELFAST",12675,12675,NA,12675,1,"UK","EUROPA","pelicula",92,92,1,"FEBRERO",1,20
"21","EL PADRINO 50 AÑOS",12474,12474,NA,12474,13,"EE.UU","EE.UU","pelicula",33,33,1,"FEBRERO",1,21
"22","JACKASS POR SIEMPRE",10431,10331,100,100,2,"EE.UU","EE.UU","pelicula",101,102,1,"FEBRERO",1,22
"23","HOY SE ARREGLA EL MUNDO",9844,778,1507,6248,8,"ARGENTINA","ARGENTINA","pelicula",31,57,1,"FEBRERO",1,23
"24","EL REGRESO DE GULLIVER",6695,96,470,6129,3,"UCRANIA","EUROPA","pelicula",96,117,1,"FEBRERO",1,24
"25","LA CASA GUCCI",4578,618,775,1793,16,"EE.UU","EE.UU","pelicula",8,23,1,"FEBRERO",1,25
"26","MATRIX RESURRECCIONES",3814,1277,2537,2537,10,"EE.UU","EE.UU","pelicula",13,24,1,"FEBRERO",1,26
"27","THE BEATLES GET BACK: EL ÚLTIMO CONCIERTO",3481,329,3152,3152,2,"EE.UU","EE.UU","documental",2,3,1,"FEBRERO",1,27
"28","JUSTICIEROS",2787,2787,NA,2787,1,"DINAMARCA","EUROPA","pelicula",37,37,1,"FEBRERO",1,28
"29","""ETIQUETA NEGRA""",2541,473,803,274,4,"ESPAÑA","EUROPA","festival",1,4,1,"FEBRERO",1,29
"30","HARRY POTTER Y LA PIEDRA FILOSOFAL",2531,2531,NA,2531,80,"UK","EUROPA","pelicula",15,15,1,"FEBRERO",1,30
"31","NOCHE AMERICANA",2123,22,2101,2101,2,"ARGENTINA","ARGENTINA","pelicula",45,46,1,"FEBRERO",1,31
"32","LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS",2018,377,21,1286,4,"FRANCIA","EUROPA","pelicula",16,24,1,"FEBRERO",1,32
"33","""CICLO VIVA FELLINI""",1855,760,1095,1095,2,"","","festival",1,2,1,"FEBRERO",1,33
"34","THE KING' S MAN: EL ORIGEN",1748,221,1527,1527,6,"EE.UU","EE.UU","pelicula",10,12,1,"FEBRERO",1,34
"35","DIGIMON ADVENTURE: LA ULTIMA EVOLUCION",1662,1662,NA,1662,1,"JAPON","ASIA","pelicula",9,9,1,"FEBRERO",1,35
"36","CICLO RETROSPECTIVA DE PATRICIO GUZMAN",1309,202,563,313,4,"","","festival",1,4,1,"FEBRERO",1,36
"37","EX CASADOS",1260,171,612,111,12,"ARGENTINA","ARGENTINA","pelicula",4,14,1,"FEBRERO",1,37
"38","RE GRANCHIO",1177,1177,NA,1177,1,"ITALIA","EUROPA","pelicula",12,12,1,"FEBRERO",1,38
"39","JESÚS LÓPEZ",1154,111,194,689,4,"ARGENTINA","ARGENTINA","pelicula",5,15,1,"FEBRERO",1,39
"40","RIFKINS FESTIVAL",1009,116,184,709,6,"EE.UU","EE.UU","pelicula",7,11,1,"FEBRERO",1,40
"41","PASION, AMOR Y MUERTE",950,950,NA,950,1,"EE.UU","EE.UU","pelicula",42,42,1,"FEBRERO",1,41
"42","LAS CERCANAS",931,931,NA,931,1,"ARGENTINA","ARGENTINA","documental",4,4,1,"FEBRERO",1,42
"43","BELLE",918,122,796,796,6,"JAPON ","ASIA","pelicula",5,7,1,"FEBRERO",1,43
"44","EL PERRO QUE NO CALLA",898,211,301,193,14,"ARGENTINA","ARGENTINA","pelicula",2,5,1,"FEBRERO",1,44
"45","PUNTO ROJO",871,203,668,668,2,"SUECIA","EUROPA","pelicula",2,3,1,"FEBRERO",1,45
"46","LA LUNA REPRESENTA MI CORAZÓN",750,70,83,597,3,"ARGENTINA","ARGENTINA","documental",2,4,1,"FEBRERO",1,46
"47","EL HOMBRE QUE VENDIÓ SU PIEL",739,739,NA,739,1,"TURQUIA","EUROPA","pelicula",13,13,1,"FEBRERO",1,47
"48",""" FESTIVAL DE CINE ISRAELÍ - CABA SERET 2022""",698,698,NA,698,1,"","","festival",4,4,1,"FEBRERO",1,48
"49","VIDA POETA - HOMERO EXPÓSITO",577,14,563,563,4,"ARGENTINA","ARGENTINA","documental",1,2,1,"FEBRERO",1,49
"50","""DESDE FINLANDIA CON AMOR""",559,381,178,178,2,"","","festival",1,2,1,"FEBRERO",1,50
