Rank;Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Semana Cartel;extranjero;pais;region ;tipo;nombre;direccion;eyd
1;2/3/2022;BATMAN;483551;439417;556;2;1;EE.UU;EE.UU;pelicula;Matt Reeves;hombre;0.5
2;17/2/2022;UNCHARTED: FUERA DEL MAPA;436913;65540;174;4;1;EE.UU;EE.UU;pelicula;Ruben Fleischer;hombre;0
3;15/12/2021;SPIDER MAN SIN CAMINO A CASA;3999987;28778;114;14;1;EE.UU;EE.UU;pelicula;Jon Watts;hombre;0
4;6/1/2022;SING 2, VEN Y CANTA DE NUEVO;829804;26074;136;11;1;EE.UU;EE.UU;pelicula;Garth Jennings;hombre;1
5;10/2/2022;EL EXORCISMO DE DIOS;92902;13147;55;4;1;EE.UU;EE.UU;pelicula;Alejandro Hidalgo;hombre;0.5
6;10/2/2022;MUERTE EN EL NILO;93736;7370;29;4;1;EE.UU;EE.UU;pelicula;Kenneth Branagh;hombre;0
7;24/2/2022;LA LLAMADA FINAL;29815;6305;42;2;1;EE.UU;EE.UU;pelicula;Timothy Woodward Jr.;hombre;0
8;25/11/2021;ENCANTO;700868;5867;52;17;1;EE.UU;EE.UU;pelicula;Jared Bush, Byron Howard, Charise Castro Smith;mixto;0.5
9;24/11/2011;EL PADRINO 50 AÑOS;75447;4786;13;14;1;EE.UU;EE.UU;pelicula;Francis Ford Coppola;hombre;0.5
10;24/2/2022;BELFAST;16782;4107;30;2;1;UK;EUROPA;pelicula;Kenneth Branagh;hombre;1
11;10/2/2022;CORAZON DE FUEGO;34882;3636;20;5;1;FRANCIA;EUROPA;pelicula;Theodore Ty, Laurent Zeitoun;hombre;0.5
12;17/2/2022;SPENCER;29026;3095;19;3;1;UK;EUROPA;pelicula;Pablo Larraín;hombre;0
13;27/1/2022;LICORICE PIZZA;61138;2518;12;7;1;EE.UU;EE.UU;pelicula;Paul Thomas Anderson;hombre;1
14;27/1/2022;ECOS DE UN CRIMEN;99233;1448;5;7;0;ARGENTINA;ARGENTINA;pelicula;Cristian Bernard;hombre;0
15;2/3/2022;REDESCUBRIR A ROBERT BRESSON;1229;1031;1;2;;;;festival;;;
16;28/10/2021;YO NENA YO PRINCESA;44625;945;2;14;0;ARGENTINA;ARGENTINA;pelicula;Federico Palazzo;hombre;1
17;9/12/2021;CLIFFORD EL GRAN PERRO ROJO;93613;820;5;15;1;EE.UU;EE.UU;pelicula;Walt Becker;hombre;0
18;27/1/2022;EL CALLEJON DE LAS ALMAS PERDIDAS;43999;808;5;6;1;EE.UU;EE.UU;pelicula;Guillermo del Toro;hombre;0.5
19;3/3/2022;BAJO LA CORTEZA;776;776;8;1;0;ARGENTINA;ARGENTINA;pelicula;Martín Heredia Troncoso;hombre;0.5
20;3/3/2022;VOCES DORADAS;718;718;8;1;1;ISRAEL;ASIA;pelicula;Evgeny Ruman;hombre;0.5
21;4/3/2022;""" 3RA SEMANA MUNDIAL DE LA CINEFILIA""";635;548;1;2;;;;festival ;;;
22;24/2/2022;JACKASS POR SIEMPRE;10855;424;8;3;1;EE.UU;EE.UU;pelicula;Jeff Tremaine;hombre;0.5
23;1/3/2022;"""CICLO CULTURAL SAN MARTIN MARZO 2022""";486;398;1;2;;;;festival;;;
24;3/2/2022;MADRES PARALELAS;19142;354;2;5;1;ESPAÑA;EUROPA;pelicula;Pedro Almodóvar;hombre;1
25;5/3/2021;EL MAESTRO;337;298;1;4;0;ARGENTINA;ARGENTINA;pelicula;Cristina Tamagnini, Julián Dabien;mixto;0.5
26;10/3/2022;AXIOMAS;297;297;1;1;0;ARGENTINA;ARGENTINA;pelicula;Marcela Luchetta;mujer;0.5
27;18/2/2021;LAS SIAMESAS;2830;290;1;26;0;ARGENTINA;ARGENTINA;pelicula;Paula Hernández;mujer;0.5
28;24/2/2022;LAS CERCANAS;1218;287;4;2;0;ARGENTINA;ARGENTINA;documental;María Álvarez;mujer;1
29;1/3/2022;"""EL CAIRO MARZO- ABRIL 2022""";284;284;1;1;;;;festival;;;
30;13/1/2022;SCREAM: GRITA;300448;281;2;9;1;EE.UU;EE.UU;pelicula;Matt Bettinelli-Olpin, Tyler Gillett;hombre;0
31;24/2/2022;RE GRANCHIO;1447;270;2;2;1;ITALIA;EUROPA;pelicula;Alessio Rigo de Righi, Matteo Zoppis;hombre;1
32;13/1/2022;HOY SE ARREGLA EL MUNDO;70361;252;3;9;0;ARGENTINA;ARGENTINA;pelicula;Ariel Winograd;hombre;0
33;4/3/2022;ATLAS;192;192;1;1;1;SUIZA;EUROPA;pelicula;Niccolò Castelli;hombre;0.5
34;3/2/2022;PASAJERO 666;47913;170;1;6;1;RUSIA;EUROPA;pelicula;Alexander Babaev;hombre;0
35;25/11/2021;EL PERRO QUE NO CALLA;4516;142;1;15;0;ARGENTINA;ARGENTINA;pelicula;Ana Katz;mujer;0.5
36;26/11/2021;SALIR DE PUTA;203;138;2;2;0;ARGENTINA;ARGENTINA;documental;Sofía Rocha;mujer;1
37;1/3/2022;"""ETIQUETA NEGRA MARZO""";125;125;1;1;;;;festival;;;
38;25/11/2021;LA CASA GUCCI;137292;118;2;17;1;EE.UU;EE.UU;pelicula;Ridley Scott;hombre;0
39;3/2/2022;LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS;2126;108;2;5;1;FRANCIA;EUROPA;pelicula;Emmanuel Mouret;hombre;1
40;10/3/2022;KING;99;99;1;1;1;FRANCIA;EUROPA;pelicula;David Moreau;hombre;0.5
41;17/2/2022;PUNTO ROJO;958;87;1;3;1;SUECIA;EUROPA;pelicula;Alain Darborg;hombre;0.5
42;8/3/2022;DOROTHY ARZNER -PIONERA DE HOLLYWOOD;87;87;1;1;;;;;;;
43;5/8/2021;EMILIA;679;83;5;9;0;ARGENTINA;ARGENTINA;pelicula;César Sodero;hombre;1
44;1/3/2022;"""TARDES DE CINE ARTE""";140;81;1;2;;;;festival;;;
45;18/3/2021;LINEA 137;174;79;2;3;0;ARGENTINA;ARGENTINA;documental;Lucía Vassallo;mujer;0
46;10/2/2022;CASATE CONMIGO;29181;69;1;4;1;EE.UU;EE.UU;pelicula;Kat Coiro;mujer;0
47;10/3/2022;LAS NOCHES SON DE LOS MONSTRUOS;59;59;1;1;0;ARGENTINA;ARGENTINA;pelicula;Sebastian Perillo;hombre;0
48;3/3/2022;LAS METAMORFOSIS;51;51;1;1;;;;festival;;;
49;3/3/2022;KARAKOL;44;44;5;1;0;ARGENTINA;ARGENTINA;pelicula;Saula Benavente;mujer;1
50;3/2/2022;MOONFALL;48933;42;1;5;1;EE.UU;EE.UU;pelicula;Roland Emmerich;hombre;0.5
51;3/3/2022;LINA DE LIMA;41;41;4;1;1;CHILE ;LATAM;pelicula;María Paz González;mujer;1
52;6/1/2022;YO TRAIDOR;4288;41;1;9;0;ARGENTINA;ARGENTINA;pelicula;Rodrigo Fernandez Engler;hombre;0.5
53;9/12/2021;TRES EN LA DERIVA DEL ACTO CREATIVO;845;41;1;8;0;ARGENTINA;ARGENTINA;documental;Fernando E. Solanas;hombre;1
54;3/2/2022;EL REGRESO DE GULLIVER;6730;35;1;4;1;UCRANIA;EUROPA;pelicula;Ilya Maksimov;hombre;0
55;16/12/2021;UNA SOLA NOCHE;960;34;1;9;0;ARGENTINA;ARGENTINA;pelicula;Luis Hitoshi Díaz;hombre;0
56;13/1/2022;EL EMPLEADO Y EL PATRON;1075;33;1;8;1;URUGUAY;LATAM;pelicula;Manuel Nieto Zas;hombre;
57;3/2/2022;JESÚS LÓPEZ;1186;32;1;5;0;ARGENTINA;ARGENTINA;pelicula;Maximiliano Schonfeld;hombre;0.5
58;4/11/2021;CAPERUCITA ROJA;426;28;3;5;0;ARGENTINA;ARGENTINA;documental;Tatiana Mazú;mujer;1
59;28/11/2021;ALGO SE ENCIENDE;95;28;5;4;0;ARGENTINA;ARGENTINA;documental;Luciana Gentinetta;mujer;1
60;30/12/2021;SEXO DESAFORTUNADO O PORNO LOCO;2157;28;1;8;1;RUMANIA;EUROPA;pelicula;Radu Jude;hombre;1
61;11/11/2021;ILSE FUSKOVA;769;19;2;9;0;ARGENTINA;ARGENTINA;documental;Lucas Santa Ana, Liliana Furió;mixto;0.5
62;28/10/2021;LA VIDA DORMIDA;595;18;2;8;0;ARGENTINA;ARGENTINA;pelicula;Natalia Labaké;mujer;1
